Codigo,DescripcionCompleta
1 Agricultura,"ganaderia, caza y actividades de servicios conexas"
2 Silvicultura,extracción de madera y actividades de servicios conexas
11 Extraccion de petroleo crudo y gas natural; actividades relacionadas con la extracción de petroleo y gas,excepto las actividades de prospeccion.
19 Curtido y terminacion de cueros; fabricacion de maletas,"bolsos de mano. articulos de talabarteria y guarnicioneria, y calzado"
28 Fabricacion de productos elaborados de metal,excepto maquinaria y equipo
30 Fabricacion de maquinaria de oficina,contabilidad e informatica
32 Fabricacion de equipo y aparatos de radio,television y comunicaciones
33 Fabricacion de instrumentos medicos,opticos y de precision y fabricacion de relojes
34 Fabricacion de vehiculos automotores,remolques y semirremolques
40 Electricidad,gas y agua
41 Captación,depuración y distribución de agua
50 Venta,"mantenimiento y reparación de vehículos automotores y de sus partes, piezas y accesorios. venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios. venta al por menor de combustible para vehículos automotores y motocicletas."
63 Servicios de manipulación de carga,de almacenamiento y depósito. servicios complementarios para el transporte. servicios de agencias de viaje y otras actividades complementarias de apoyo turístico. servicios de gestión y logística para el transporte de mercaderías
67 Servicios auxiliares a la actividad financiera,excepto a los servicios de seguros y de administración de fondos de jubilaciones y pensiones
72 Actividades de informática. serviciosde consultores. procesamiento de datos. mantenimiento y reparacion de maquinaria de oficina,contabilidad e informatica
74 Servicios jurídicos y de contabilidad,teneduría de libros y auditoría; asesoramiento en materia de impuestos; estudios de mercados y realización de encuestas de opinión pública; asesoramiento empresarial y en materia de gestión.  servicios de arquitectura e ingeniería y servicios técnicos n.c.p. servicios de publicidad. servicios empresariales n.c.p.
80 Enseñanza. inicial,"primaria, secundaria, superior y formación de posgrado. enseñanza para adultos y servicios de enseñanza n.c.p."
90 Eliminación de desperdicios y aguas residuales,saneamiento y servicios similares
91 Servicios de organizaciones empresariales,profesionales y de empleadores. servicios de sindicatos. servicios de asociaciones n.c.p.
92 Servicios de cinematografía,"radio y televisión y servicios de espectáculos artísticos y de diversión n.c.p.. servicios de agencias de noticias. servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p. servicios para la práctica deportiva y de entretenimiento n.c.p."
* La rama 75 no corresponde al CIIU,se recodifica para Agencias de empleo eventual
14 Servicios agrícolas y pecuarios,excepto los veterinarios
15 Caza  y captura de animales vivos,repoblación  de animales de caza y servicios conexos
20 Silvicultura,extracción de madera y servicios conexos
112 Actividades  de servicios relacionadas con la extracción de petróleo y gas,excepto las actividades de prospección
132 Extracción de minerales metalíferos no ferrosos,excepto minerales de uranio y torio
141 Extracción de piedra,arena y arcillas
151 Producción y procesamiento de carne,"pescado, frutas, legumbres, hortalizas, aceites y grasas"
153 Elaboración de productos de molinería,almidones y productos derivados del almidón y de alimentos preparados para animales
171 Fabricación  de hilados y  tejidos,acabado de productos textiles
181 Confección de prendas de vestir,excepto prendas de piel
202 Fabricación de productos de madera,"corcho, paja y materiales trenzables"
281 Fabricación de productos metálicos para uso estructural,"tanques, depósitos y generadores de vapor"
300 Fabricación de maquinaria de oficina,contabilidad e informática
311 Fabricación de motores,generadores y transformadores eléctricos
321 Fabricación de tubos,válvulas  y otros  componentes electrónicos
