Categoría,Período,Valor,Fuente,Codigo,DescripcionCompleta
A,1º Trim 1996,234248.0,C3,,
B,1º Trim 1996,8115.0,C3,,
C,1º Trim 1996,33052.0,C3,,
D,1º Trim 1996,884282.0,C3,,
E,1º Trim 1996,44277.0,C3,,
F,1º Trim 1996,182266.0,C3,,
G,1º Trim 1996,520178.0,C3,,
H,1º Trim 1996,107350.0,C3,,
I,1º Trim 1996,281893.0,C3,,
J,1º Trim 1996,115996.0,C3,,
K,1º Trim 1996,450017.0,C3,,
M,1º Trim 1996,149657.0,C3,,
N,1º Trim 1996,170426.0,C3,,
O,1º Trim 1996,242521.0,C3,,
Total general,1º Trim 1996,3424278.0,C3,,
A,2º Trim 1996,236404.0,C3,,
B,2º Trim 1996,9254.0,C3,,
C,2º Trim 1996,33732.0,C3,,
D,2º Trim 1996,892050.0,C3,,
E,2º Trim 1996,44639.0,C3,,
F,2º Trim 1996,186361.0,C3,,
G,2º Trim 1996,527860.0,C3,,
H,2º Trim 1996,102517.0,C3,,
I,2º Trim 1996,286531.0,C3,,
J,2º Trim 1996,119730.0,C3,,
K,2º Trim 1996,456644.0,C3,,
M,2º Trim 1996,159780.0,C3,,
N,2º Trim 1996,170861.0,C3,,
O,2º Trim 1996,239140.0,C3,,
Total general,2º Trim 1996,3465503.0,C3,,
A,3º Trim 1996,231716.0,C3,,
B,3º Trim 1996,9454.0,C3,,
C,3º Trim 1996,34170.0,C3,,
D,3º Trim 1996,898198.0,C3,,
E,3º Trim 1996,45254.0,C3,,
F,3º Trim 1996,202370.0,C3,,
G,3º Trim 1996,536994.0,C3,,
H,3º Trim 1996,105366.0,C3,,
I,3º Trim 1996,292601.0,C3,,
J,3º Trim 1996,122175.0,C3,,
K,3º Trim 1996,474246.0,C3,,
M,3º Trim 1996,162567.0,C3,,
N,3º Trim 1996,172916.0,C3,,
O,3º Trim 1996,240380.0,C3,,
Total general,3º Trim 1996,3528407.0,C3,,
A,4º Trim 1996,238303.0,C3,,
B,4º Trim 1996,8727.0,C3,,
C,4º Trim 1996,36234.0,C3,,
D,4º Trim 1996,912318.0,C3,,
E,4º Trim 1996,44488.0,C3,,
F,4º Trim 1996,216490.0,C3,,
G,4º Trim 1996,552783.0,C3,,
H,4º Trim 1996,108673.0,C3,,
I,4º Trim 1996,296719.0,C3,,
J,4º Trim 1996,124227.0,C3,,
K,4º Trim 1996,488859.0,C3,,
M,4º Trim 1996,178289.0,C3,,
N,4º Trim 1996,174367.0,C3,,
O,4º Trim 1996,246504.0,C3,,
Total general,4º Trim 1996,3626981.0,C3,,
A,1º Trim 1997,259255.0,C3,,
B,1º Trim 1997,9725.0,C3,,
C,1º Trim 1997,35707.0,C3,,
D,1º Trim 1997,923616.0,C3,,
E,1º Trim 1997,44709.0,C3,,
F,1º Trim 1997,232424.0,C3,,
G,1º Trim 1997,563901.0,C3,,
H,1º Trim 1997,114455.0,C3,,
I,1º Trim 1997,302936.0,C3,,
J,1º Trim 1997,125585.0,C3,,
K,1º Trim 1997,503996.0,C3,,
M,1º Trim 1997,180293.0,C3,,
N,1º Trim 1997,177526.0,C3,,
O,1º Trim 1997,250392.0,C3,,
Total general,1º Trim 1997,3724520.0,C3,,
A,2º Trim 1997,257795.0,C3,,
B,2º Trim 1997,10476.0,C3,,
C,2º Trim 1997,37067.0,C3,,
D,2º Trim 1997,934635.0,C3,,
E,2º Trim 1997,45016.0,C3,,
F,2º Trim 1997,236270.0,C3,,
G,2º Trim 1997,571603.0,C3,,
H,2º Trim 1997,108445.0,C3,,
I,2º Trim 1997,310666.0,C3,,
J,2º Trim 1997,130722.0,C3,,
K,2º Trim 1997,511536.0,C3,,
M,2º Trim 1997,193806.0,C3,,
N,2º Trim 1997,176993.0,C3,,
O,2º Trim 1997,250862.0,C3,,
Total general,2º Trim 1997,3775892.0,C3,,
A,3º Trim 1997,245800.0,C3,,
B,3º Trim 1997,10049.0,C3,,
C,3º Trim 1997,37630.0,C3,,
D,3º Trim 1997,934990.0,C3,,
E,3º Trim 1997,47387.0,C3,,
F,3º Trim 1997,246182.0,C3,,
G,3º Trim 1997,581901.0,C3,,
H,3º Trim 1997,112774.0,C3,,
I,3º Trim 1997,334907.0,C3,,
J,3º Trim 1997,132239.0,C3,,
K,3º Trim 1997,523888.0,C3,,
M,3º Trim 1997,195830.0,C3,,
N,3º Trim 1997,178972.0,C3,,
O,3º Trim 1997,253054.0,C3,,
Total general,3º Trim 1997,3835603.0,C3,,
A,4º Trim 1997,251013.0,C3,,
B,4º Trim 1997,9002.0,C3,,
C,4º Trim 1997,37678.0,C3,,
D,4º Trim 1997,948585.0,C3,,
E,4º Trim 1997,47626.0,C3,,
F,4º Trim 1997,256015.0,C3,,
G,4º Trim 1997,599984.0,C3,,
H,4º Trim 1997,117583.0,C3,,
I,4º Trim 1997,346348.0,C3,,
J,4º Trim 1997,135750.0,C3,,
K,4º Trim 1997,546745.0,C3,,
M,4º Trim 1997,217094.0,C3,,
N,4º Trim 1997,179662.0,C3,,
O,4º Trim 1997,259908.0,C3,,
Total general,4º Trim 1997,3952993.0,C3,,
A,1º Trim 1998,271099.0,C3,,
B,1º Trim 1998,9893.0,C3,,
C,1º Trim 1998,38583.0,C3,,
D,1º Trim 1998,954011.0,C3,,
E,1º Trim 1998,47983.0,C3,,
F,1º Trim 1998,260297.0,C3,,
G,1º Trim 1998,612061.0,C3,,
H,1º Trim 1998,124356.0,C3,,
I,1º Trim 1998,345164.0,C3,,
J,1º Trim 1998,138700.0,C3,,
K,1º Trim 1998,563232.0,C3,,
M,1º Trim 1998,243212.0,C3,,
N,1º Trim 1998,179998.0,C3,,
O,1º Trim 1998,267731.0,C3,,
Total general,1º Trim 1998,4056320.0,C3,,
A,2º Trim 1998,257000.0,C3,,
B,2º Trim 1998,10630.0,C3,,
C,2º Trim 1998,39071.0,C3,,
D,2º Trim 1998,956073.0,C3,,
E,2º Trim 1998,47999.0,C3,,
F,2º Trim 1998,261152.0,C3,,
G,2º Trim 1998,617944.0,C3,,
H,2º Trim 1998,116436.0,C3,,
I,2º Trim 1998,349236.0,C3,,
J,2º Trim 1998,140573.0,C3,,
K,2º Trim 1998,565946.0,C3,,
M,2º Trim 1998,261707.0,C3,,
N,2º Trim 1998,179562.0,C3,,
O,2º Trim 1998,265271.0,C3,,
Total general,2º Trim 1998,4068600.0,C3,,
A,3º Trim 1998,251940.0,C3,,
B,3º Trim 1998,9581.0,C3,,
C,3º Trim 1998,38891.0,C3,,
D,3º Trim 1998,949006.0,C3,,
E,3º Trim 1998,49013.0,C3,,
F,3º Trim 1998,268986.0,C3,,
G,3º Trim 1998,621745.0,C3,,
H,3º Trim 1998,119615.0,C3,,
I,3º Trim 1998,355175.0,C3,,
J,3º Trim 1998,141742.0,C3,,
K,3º Trim 1998,579055.0,C3,,
M,3º Trim 1998,263883.0,C3,,
N,3º Trim 1998,181583.0,C3,,
O,3º Trim 1998,262865.0,C3,,
Total general,3º Trim 1998,4093080.0,C3,,
A,4º Trim 1998,253843.0,C3,,
B,4º Trim 1998,8833.0,C3,,
