Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
1º Trim 1996,3424278.0,,,,,,C1.1,,,,,,,,,,,,
2º Trim 1996,3465503.0,,,,,,C1.1,,,,,,,,,,,,
3º Trim 1996,3528407.0,,,,,,C1.1,,,,,,,,,,,,
4º Trim 1996,3626981.0,,,,,,C1.1,,,,,,,,,,,,
1º Trim 1997,3724520.0,0.08768038109055398,,,,,C1.1,,,,,,,,,,,,
2º Trim 1997,3775892.0,0.08956535313921243,,,,,C1.1,,,,,,,,,,,,
3º Trim 1997,3835603.0,0.08706365223739776,,,,,C1.1,,,,,,,,,,,,
4º Trim 1997,3952993.0,0.08988522410235955,,,,,C1.1,,,,,,,,,,,,
1º Trim 1998,4056320.0,0.08908530495204747,,,,,C1.1,,,,,,,,,,,,
2º Trim 1998,4068600.0,0.07752022568442096,,,,,C1.1,,,,,,,,,,,,
3º Trim 1998,4093080.0,0.06712816733118632,,,,,C1.1,,,,,,,,,,,,
4º Trim 1998,4118711.0,0.04192215872884164,,,,,C1.1,,,,,,,,,,,,
1º Trim 1999,4104534.0,0.011886143105080516,,,,,C1.1,,,,,,,,,,,,
2º Trim 1999,4052160.0,-0.004040701961362636,,,,,C1.1,,,,,,,,,,,,
3º Trim 1999,4011805.0,-0.01985668494141335,,,,,C1.1,,,,,,,,,,,,
4º Trim 1999,4024999.0,-0.02275274958597484,,,,,C1.1,,,,,,,,,,,,
1º Trim 2000,4026873.0,-0.01892078369919703,,,,,C1.1,,,,,,,,,,,,
2º Trim 2000,3968410.0,-0.02066798941798942,,,,,C1.1,,,,,,,,,,,,
3º Trim 2000,3970498.0,-0.010296362859112063,,,,,C1.1,,,,,,,,,,,,
4º Trim 2000,4016625.0,-0.0020804974113036723,,,,,C1.1,,,,,,,,,,,,
1º Trim 2001,4036286.0,0.0023375457830430157,,,,,C1.1,,,,,,,,,,,,
2º Trim 2001,3980665.0,0.003088138574391275,,,,,C1.1,,,,,,,,,,,,
3º Trim 2001,3879624.0,-0.022887305320390516,,,,,C1.1,,,,,,,,,,,,
4º Trim 2001,3786138.0,-0.05738325086359819,,,,,C1.1,,,,,,,,,,,,
1º Trim 2002,3609266.0,-0.1057952781344037,,,,,C1.1,,,,,,,,,,,,
2º Trim 2002,3510420.0,-0.11813227186914754,,,,,C1.1,,,,,,,,,,,,
3º Trim 2002,3468591.0,-0.10594660719698612,,,,,C1.1,,,,,,,,,,,,
4º Trim 2002,3506695.0,-0.07380687127621866,,,,,C1.1,,,,,,,,,,,,
1º Trim 2003,3602146.0,-0.001972700266480776,,,,,C1.1,,,,,,,,,,,,
2º Trim 2003,3667862.0,0.044849904000091145,,,,,C1.1,,,,,,,,,,,,
3º Trim 2003,3755439.0,0.08269870964896131,,,,,C1.1,,,,,,,,,,,,
4º Trim 2003,3889824.0,0.10925643661624407,,,,,C1.1,,,,,,,,,,,,
1º Trim 2004,4017843.0,0.1154025961190912,,,,,C1.1,,,,,,,,,,,,
