Período,Empleo,Var. % interanual
1º Trim 1996,3424293.0,
2º Trim 1996,3465517.0,
3º Trim 1996,3528419.0,
4º Trim 1996,3626993.0,
1º Trim 1997,3724537.0,0.08768058107177157
2º Trim 1997,3775909.0,0.08956585698468666
3º Trim 1997,3835621.0,0.0870650566160085
4º Trim 1997,3953012.0,0.0898868566881712
1º Trim 1998,4056353.0,0.08908919417366512
2º Trim 1998,4068633.0,0.07752411406101145
3º Trim 1998,4093114.0,0.06713202373227167
4º Trim 1998,4118756.0,0.041928534494709346
1º Trim 1999,4104590.0,0.011891716524671248
2º Trim 1999,4052205.0,-0.004037719794338757
3º Trim 1999,4011839.0,-0.019856519999198685
4º Trim 1999,4025042.0,-0.02275298658138525
1º Trim 2000,4026924.0,-0.018921743706435956
2º Trim 2000,3968450.0,-0.020668993794736412
3º Trim 2000,3970541.0,-0.01029403223808334
4º Trim 2000,4016653.0,-0.0020842018542912566
1º Trim 2001,4036319.0,0.0023330462655863915
2º Trim 2001,3980698.0,0.003086343534629332
3º Trim 2001,3879655.0,-0.022890079714577904
4º Trim 2001,3786145.0,-0.05738807907977117
1º Trim 2002,3609265.0,-0.10580283669353185
2º Trim 2002,3510422.0,-0.11813908013117302
3º Trim 2002,3468589.0,-0.10595426655205165
4º Trim 2002,3506695.0,-0.07380858366491505
1º Trim 2003,3602146.0,-0.0019724237483255136
2º Trim 2003,3667869.0,0.04485130277784277
3º Trim 2003,3755449.0,0.08270221695334912
4º Trim 2003,3889849.0,0.10926356583620755
1º Trim 2004,4017882.0,0.1154134229984014
2º Trim 2004,4096575.0,0.116881491678138
3º Trim 2004,4232231.0,0.1269573891164546
4º Trim 2004,4388441.0,0.12817772617908818
1º Trim 2005,4533961.0,0.1284455342391837
2º Trim 2005,4627562.0,0.12961730225859402
3º Trim 2005,4719712.0,0.11518298504972901
4º Trim 2005,4891397.0,0.11460926556834194
1º Trim 2006,5018572.0,0.10688468648054106
2º Trim 2006,5078201.0,0.09738151536381356
3º Trim 2006,5148891.0,0.09093330270999589
4º Trim 2006,5311076.0,0.0857994147684189
1º Trim 2007,5447248.0,0.08541792366434109
2º Trim 2007,5513299.0,0.08567955462968091
3º Trim 2007,5602847.0,0.08816578171882061
4º Trim 2007,5781302.0,0.08853686145707584
1º Trim 2008,5875586.0,0.07863383491994491
2º Trim 2008,5927432.0,0.07511528034303971
3º Trim 2008,5935045.0,0.059290928344107874
4º Trim 2008,5963528.0,0.031519889464345585
1º Trim 2009,5897389.0,0.003710778805722459
2º Trim 2009,5802921.0,-0.02100589260239505
3º Trim 2009,5792209.0,-0.024066540354790944
4º Trim 2009,5875705.0,-0.014726685277573925
1º Trim 2010,5943458.0,0.00781176212049095
2º Trim 2010,5945871.0,0.024634145458812817
3º Trim 2010,5980229.0,0.0324608452491959
4º Trim 2010,6103521.0,0.038772538784707544
1º Trim 2011,6217462.0,0.04610178115164598
2º Trim 2011,6245285.0,0.05035662563146759
3º Trim 2011,6282665.0,0.05057264529502126
4º Trim 2011,6382766.0,0.045751460509433794
