Período,Empleo,Var. % trimestral,Var. % interanual
1º Trim 1996,3396822.0,,
2º Trim 1996,3474116.0,0.022754798455733027,
3º Trim 1996,3551983.0,0.022413471513328842,
4º Trim 1996,3620386.0,0.01925769351936646,
1º Trim 1997,3701896.0,0.022514173903003698,
2º Trim 1997,3782037.0,0.0216486362663888,
3º Trim 1997,3859498.0,0.02048129090223072,
4º Trim 1997,3946039.0,0.022422864320696734,
1º Trim 1998,4030330.0,0.0213609140710469,
2º Trim 1998,4078971.0,0.012068738788138855,
3º Trim 1998,4116234.0,0.009135392234953299,
4º Trim 1998,4111112.0,-0.0012443413080985843,
1º Trim 1999,4081475.0,-0.0072089984412976316,
2º Trim 1999,4061042.0,-0.005006278367501893,
3º Trim 1999,4033723.0,-0.0067270912243705405,
4º Trim 1999,4017404.0,-0.004045642202005428,
1º Trim 2000,4000366.0,-0.0042410472036170654,
2º Trim 2000,3978719.0,-0.0054112548701793495,
3º Trim 2000,3991296.0,0.003161067670272688,
4º Trim 2000,4010806.0,0.004888136585209368,
1º Trim 2001,4013396.0,0.0006457554915395569,
2º Trim 2001,3989503.0,-0.005953312356916651,
3º Trim 2001,3899680.0,-0.02251483455457981,
4º Trim 2001,3780644.0,-0.030524555860993674,
1º Trim 2002,3590746.0,-0.05022900860276713,
2º Trim 2002,3515812.0,-0.020868644008793735,
3º Trim 2002,3488224.0,-0.007846835951410336,
4º Trim 2002,3500878.0,0.0036276340051555334,
1º Trim 2003,3579991.0,0.022598045404609968,
2º Trim 2003,3675791.0,0.02675984380966323,
3º Trim 2003,3777982.0,0.027801090976064646,
4º Trim 2003,3882405.0,0.027639888173104143,
1º Trim 2004,3990714.0,0.027897398648518035,
2º Trim 2004,4104877.0,0.028607161525481484,
3º Trim 2004,4258716.0,0.03747712781649737,
4º Trim 2004,4378669.0,0.02816647083299295,
1º Trim 2005,4510940.0,0.03020803810473005,
2º Trim 2005,4633003.0,0.02705932688087187,
3º Trim 2005,4750577.0,0.025377492740669583,
4º Trim 2005,4879228.0,0.027081131407826975,
1º Trim 2006,4989981.0,0.02269887777328705,
2º Trim 2006,5088218.0,0.0196868485070385,
3º Trim 2006,5182745.0,0.018577623836085744,
4º Trim 2006,5296287.0,0.021907695632333857,
1º Trim 2007,5418304.0,0.023038215262881412,
2º Trim 2007,5524576.0,0.019613517440143724,
3º Trim 2007,5637717.0,0.02047958069542344,
4º Trim 2007,5764197.0,0.022434613159901362,
1º Trim 2008,5846412.0,0.014263044791841706,
2º Trim 2008,5937132.0,0.015517209529537057,
3º Trim 2008,5969946.0,0.005526910973177035,
4º Trim 2008,5945794.0,-0.004045597732374784,
1º Trim 2009,5866339.0,-0.013363227854850002,
2º Trim 2009,5817857.0,-0.008264438860420498,
3º Trim 2009,5827623.0,0.0016786249644844542,
4º Trim 2009,5858156.0,0.00523935745328763,
1º Trim 2010,5911177.0,0.009050800285960392,
2º Trim 2010,5960367.0,0.00832152378451867,
3º Trim 2010,6017168.0,0.009529782310384594,
4º Trim 2010,6086290.0,0.0114874638700464,
1º Trim 2011,6180544.0,0.015486281462105733,
2º Trim 2011,6262064.0,0.013189777469426733,
3º Trim 2011,6321273.0,0.009455189215568538,
4º Trim 2011,6366500.0,0.007154729751428279,
1º Trim 2012,6367682.0,0.00018565931045322337,
2º Trim 2012,6361568.0,-0.0009601610130656191,
3º Trim 2012,6358668.0,-0.00045586245403650416,
4º Trim 2012,6378222.0,0.0030751723474160553,
1º Trim 2013,6411928.0,0.005284544815153724,
2º Trim 2013,6422230.0,0.0016066930258731293,
3º Trim 2013,6429757.0,0.0011720228020484225,
4º Trim 2013,6437054.0,0.0011348795918726395,
1º Trim 2014,6421946.0,-0.0023470363927349247,
2º Trim 2014,6420819.0,-0.00017549197704247455,
3º Trim 2014,6438429.0,0.002742640775265537,
4º Trim 2014,6467723.0,0.004549867677348107,
1º Trim 2015,6520828.0,0.008210772168195879,
2º Trim 2015,6587469.0,0.010219714428903792,
3º Trim 2015,6620318.0,0.004986588931196412,
4º Trim 2015,6606536.0,-0.0020817731112010573,
1º Trim 2016,6573779.0,-0.004958271626764765,
2º Trim 2016,6541923.0,-0.004845918915132419,
3º Trim 2016,6531375.0,-0.0016123699407650793,
4º Trim 2016,6549034.0,0.002703718589117887,
1º Trim 2017,6574803.0,0.003934778778061032,
2º Trim 2017,6591816.0,0.0025876060469036677,
3º Trim 2017,6626425.0,0.005250298248616225,
4º Trim 2017,6668077.0,0.006285742312031051,
1º Trim 2018,6681781.0,0.0020551652297955414,
2º Trim 2018,6664756.0,-0.0025479733621919243,
3º Trim 2018,6615077.0,-0.007453986312477179,
4º Trim 2018,6564015.0,-0.007719033353655647,
1º Trim 2019,6533516.0,-0.004646394013420152,
2º Trim 2019,6501927.0,-0.004834915840108089,
3º Trim 2019,6470361.0,-0.0048548684105497175,
4º Trim 2019,6403602.0,-0.010317662337541944,
1º Trim 2020,6339490.0,-0.010011865197118719,
2º Trim 2020,6146641.0,-0.030420270400300375,
3º Trim 2020,6131813.0,-0.002412374498526937,
4º Trim 2020,6157938.0,0.004260566980760938,
1º Trim 2021,6205101.0,0.007658894909302383,
2º Trim 2021,6265132.0,0.009674459771081834,
3º Trim 2021,6296384.0,0.004988242865433534,
4º Trim 2021,6379524.0,0.01320440430570935,
1º Trim 2022,6471840.0,0.014470672106571048,
2º Trim 2022,6560966.0,0.013771354050780005,
3º Trim 2022,6629603.0,0.010461416809658841,
4º Trim 2022,6686759.0,0.008621330719200015,
1º Trim 2023,6749941.0,0.00944882266580871,
2º Trim 2023,6803705.0,0.007965106657969345,
