Período,"Agricultura, ganadería y pesca",Minería y petróleo (3),Industria,"Electricidad, gas y agua (3)",Construcción,Comercio,Servicios,Total
1º Trim 1996,241783.0,33062.0,883197.0,44276.0,182236.0,519514.0,1520225.0,3424293.0
2º Trim 1996,245111.0,33736.0,890840.0,44636.0,186343.0,527189.0,1537662.0,3465517.0
3º Trim 1996,240684.0,34176.0,896864.0,45250.0,202239.0,536298.0,1572908.0,3528419.0
4º Trim 1996,246553.0,36235.0,910881.0,44484.0,216272.0,552036.0,1620532.0,3626993.0
1º Trim 1997,268363.0,35711.0,922208.0,44705.0,232184.0,563084.0,1658282.0,3724537.0
2º Trim 1997,267784.0,37072.0,933274.0,45012.0,236005.0,570536.0,1686226.0,3775909.0
3º Trim 1997,255502.0,37629.0,933628.0,47384.0,246060.0,580759.0,1734659.0,3835621.0
4º Trim 1997,259652.0,37673.0,947176.0,47623.0,255910.0,598679.0,1806299.0,3953012.0
1º Trim 1998,280411.0,38577.0,952594.0,47980.0,260130.0,610946.0,1865715.0,4056353.0
2º Trim 1998,267116.0,39073.0,954636.0,47996.0,260956.0,616740.0,1882116.0,4068633.0
3º Trim 1998,261180.0,38903.0,947506.0,49010.0,268850.0,620155.0,1907510.0,4093114.0
4º Trim 1998,262415.0,37168.0,941533.0,48346.0,275357.0,627198.0,1926739.0,4118756.0
1º Trim 1999,278203.0,35437.0,927697.0,48242.0,274889.0,626847.0,1913275.0,4104590.0
2º Trim 1999,263398.0,34779.0,905706.0,48214.0,272245.0,620996.0,1906867.0,4052205.0
3º Trim 1999,253309.0,35016.0,886550.0,49241.0,267397.0,614460.0,1905866.0,4011839.0
4º Trim 1999,253659.0,35775.0,880966.0,49201.0,259761.0,618246.0,1927434.0,4025042.0
1º Trim 2000,267443.0,36603.0,875396.0,48750.0,244237.0,623619.0,1930876.0,4026924.0
2º Trim 2000,257851.0,36942.0,857223.0,48890.0,225998.0,617728.0,1923818.0,3968450.0
3º Trim 2000,254063.0,36932.0,848858.0,48381.0,223788.0,621922.0,1936597.0,3970541.0
4º Trim 2000,254112.0,36709.0,846626.0,48911.0,230443.0,634354.0,1965498.0,4016653.0
1º Trim 2001,269198.0,37790.0,843744.0,48927.0,227420.0,641476.0,1967764.0,4036319.0
2º Trim 2001,263899.0,38326.0,828122.0,48816.0,217335.0,633942.0,1950258.0,3980698.0
3º Trim 2001,248614.0,37449.0,806292.0,49072.0,199310.0,621751.0,1917167.0,3879655.0
4º Trim 2001,239860.0,37043.0,780250.0,48676.0,179331.0,608651.0,1892334.0,3786145.0
1º Trim 2002,248081.0,36237.0,743676.0,47801.0,137754.0,581500.0,1814216.0,3609265.0
2º Trim 2002,243951.0,34811.0,729583.0,46142.0,117982.0,561921.0,1776032.0,3510422.0
