Sector,Período,Empleo
1,1º Trim 1996,227248.0
1,2º Trim 1996,228963.0
1,3º Trim 1996,223726.0
1,4º Trim 1996,230069.0
1,1º Trim 1997,250749.0
1,2º Trim 1997,248989.0
1,3º Trim 1997,236949.0
1,4º Trim 1997,241869.0
1,1º Trim 1998,261756.0
1,2º Trim 1998,247167.0
1,3º Trim 1998,241770.0
1,4º Trim 1998,243941.0
1,1º Trim 1999,259465.0
1,2º Trim 1999,244249.0
1,3º Trim 1999,234832.0
1,4º Trim 1999,235819.0
1,1º Trim 2000,249207.0
1,2º Trim 2000,238958.0
1,3º Trim 2000,235417.0
1,4º Trim 2000,235471.0
1,1º Trim 2001,249921.0
1,2º Trim 2001,243341.0
1,3º Trim 2001,228970.0
1,4º Trim 2001,220940.0
1,1º Trim 2002,229091.0
1,2º Trim 2002,223609.0
1,3º Trim 2002,218366.0
1,4º Trim 2002,218641.0
1,1º Trim 2003,237875.0
1,2º Trim 2003,238875.0
1,3º Trim 2003,236883.0
1,4º Trim 2003,238831.0
1,1º Trim 2004,261487.0
1,2º Trim 2004,263098.0
1,3º Trim 2004,259887.0
1,4º Trim 2004,263771.0
1,1º Trim 2005,287621.0
1,2º Trim 2005,289147.0
1,3º Trim 2005,281767.0
1,4º Trim 2005,286160.0
1,1º Trim 2006,308626.0
1,2º Trim 2006,304345.0
1,3º Trim 2006,295166.0
1,4º Trim 2006,301765.0
1,1º Trim 2007,321751.0
1,2º Trim 2007,317192.0
1,3º Trim 2007,305923.0
1,4º Trim 2007,319099.0
1,1º Trim 2008,336366.0
1,2º Trim 2008,338424.0
1,3º Trim 2008,323808.0
1,4º Trim 2008,335576.0
1,1º Trim 2009,340945.0
1,2º Trim 2009,326327.0
1,3º Trim 2009,314934.0
1,4º Trim 2009,328241.0
1,1º Trim 2010,336056.0
1,2º Trim 2010,328595.0
1,3º Trim 2010,313611.0
1,4º Trim 2010,328856.0
1,1º Trim 2011,347638.0
1,2º Trim 2011,346831.0
1,3º Trim 2011,329999.0
1,4º Trim 2011,341991.0
1,1º Trim 2012,348064.0
1,2º Trim 2012,336928.0
1,3º Trim 2012,325253.0
1,4º Trim 2012,335076.0
1,1º Trim 2013,352887.0
1,2º Trim 2013,344918.0
1,3º Trim 2013,322944.0
1,4º Trim 2013,324119.0
1,1º Trim 2014,341088.0
1,2º Trim 2014,334302.0
1,3º Trim 2014,329781.0
1,4º Trim 2014,340376.0
1,1º Trim 2015,354366.0
1,2º Trim 2015,342393.0
1,3º Trim 2015,327679.0
1,4º Trim 2015,327577.0
1,1º Trim 2016,340617.0
1,2º Trim 2016,330048.0
1,3º Trim 2016,326249.0
1,4º Trim 2016,339586.0
1,1º Trim 2017,351255.0
1,2º Trim 2017,336516.0
1,3º Trim 2017,329756.0
1,4º Trim 2017,341408.0
1,1º Trim 2018,355520.0
1,2º Trim 2018,341786.0
1,3º Trim 2018,338661.0
1,4º Trim 2018,352334.0
1,1º Trim 2019,360200.0
1,2º Trim 2019,352789.0
1,3º Trim 2019,343372.0
1,4º Trim 2019,346871.0
