Período,Sector,Empresas
1996,A,56880.0
1996,B,224.0
1996,C,762.0
1996,D,48181.0
1996,E,1064.0
1996,F,12370.0
1996,G,90902.0
1996,H,14069.0
1996,I,27235.0
1996,J,3579.0
1996,K,97524.0
1996,M,6730.0
1996,N,16390.0
1996,O,33134.0
1997,A,57058.0
1997,B,250.0
1997,C,818.0
1997,D,48481.0
1997,E,1062.0
1997,F,13241.0
1997,G,91576.0
1997,H,14125.0
1997,I,30539.0
1997,J,3660.0
1997,K,100537.0
1997,M,7232.0
1997,N,16710.0
1997,O,33723.0
1998,A,57105.0
1998,B,257.0
1998,C,814.0
1998,D,48537.0
1998,E,1086.0
1998,F,14286.0
1998,G,92580.0
1998,H,14160.0
1998,I,32499.0
1998,J,3767.0
1998,K,103827.0
1998,M,7453.0
1998,N,17249.0
1998,O,34202.0
1999,A,55390.0
1999,B,269.0
1999,C,786.0
1999,D,46154.0
1999,E,1105.0
1999,F,14117.0
1999,G,88124.0
1999,H,12650.0
1999,I,32790.0
1999,J,3562.0
1999,K,102773.0
1999,M,7391.0
1999,N,16982.0
1999,O,32480.0
2000,A,54485.0
2000,B,303.0
2000,C,792.0
2000,D,44451.0
2000,E,1099.0
2000,F,13817.0
2000,G,88107.0
2000,H,12140.0
2000,I,32787.0
2000,J,3587.0
2000,K,103362.0
2000,M,7438.0
2000,N,17049.0
2000,O,32314.0
2001,A,52441.0
2001,B,310.0
2001,C,757.0
2001,D,41540.0
2001,E,1107.0
2001,F,12093.0
2001,G,84262.0
2001,H,11360.0
2001,I,30997.0
2001,J,3480.0
2001,K,102185.0
2001,M,7332.0
2001,N,17010.0
2001,O,31441.0
2002,A,51402.0
2002,B,312.0
2002,C,703.0
2002,D,38859.0
2002,E,1102.0
2002,F,10308.0
2002,G,79408.0
2002,H,10695.0
2002,I,28193.0
2002,J,3311.0
2002,K,99147.0
2002,M,7093.0
2002,N,16333.0
2002,O,29850.0
2003,A,54245.0
2003,B,328.0
2003,C,770.0
2003,D,42250.0
2003,E,1109.0
2003,F,12206.0
2003,G,88034.0
2003,H,11784.0
2003,I,30636.0
2003,J,3534.0
2003,K,104349.0
2003,M,7322.0
2003,N,16874.0
2003,O,32250.0
2004,A,57927.0
2004,B,342.0
2004,C,865.0
2004,D,47169.0
2004,E,1109.0
2004,F,14898.0
2004,G,105994.0
2004,H,15478.0
2004,I,35637.0
2004,J,4187.0
2004,K,115050.0
2004,M,7908.0
2004,N,18535.0
2004,O,40376.0
2005,A,61225.0
2005,B,366.0
2005,C,953.0
2005,D,50422.0
2005,E,1121.0
2005,F,17721.0
2005,G,116329.0
2005,H,17721.0
2005,I,39582.0
2005,J,4490.0
2005,K,121056.0
2005,M,8220.0
2005,N,19817.0
2005,O,43186.0
2006,A,63673.0
2006,B,355.0
2006,C,1014.0
2006,D,53793.0
2006,E,1128.0
2006,F,20385.0
2006,G,127174.0
2006,H,20036.0
2006,I,43355.0
2006,J,4786.0
2006,K,126004.0
2006,M,8608.0
2006,N,20891.0
2006,O,45155.0
2007,A,65391.0
2007,B,355.0
2007,C,1104.0
2007,D,56180.0
2007,E,1126.0
2007,F,22660.0
2007,G,135965.0
2007,H,22004.0
2007,I,47366.0
2007,J,5109.0
2007,K,129656.0
2007,M,8838.0
2007,N,22069.0
2007,O,45405.0
2008,A,66679.0
2008,B,357.0
2008,C,1157.0
2008,D,57795.0
2008,E,1137.0
2008,F,24058.0
2008,G,144428.0
2008,H,23678.0
2008,I,50647.0
2008,J,5360.0
2008,K,131944.0
2008,M,9071.0
2008,N,23098.0
2008,O,45279.0
2009,A,65299.0
2009,B,359.0
2009,C,1179.0
2009,D,57760.0
2009,E,1120.0
2009,F,23676.0
2009,G,148735.0
2009,H,24945.0
2009,I,50860.0
2009,J,5480.0
2009,K,131198.0
2009,M,9210.0
2009,N,23976.0
2009,O,44930.0
2010,A,65284.0
2010,B,348.0
2010,C,1183.0
2010,D,57801.0
2010,E,1136.0
2010,F,24316.0
2010,G,152341.0
2010,H,25544.0
2010,I,51975.0
2010,J,5649.0
2010,K,131883.0
2010,M,9327.0
2010,N,24554.0
2010,O,44915.0
2011,A,66838.0
2011,B,346.0
2011,C,1193.0
2011,D,58455.0
2011,E,1145.0
2011,F,25620.0
2011,G,156024.0
2011,H,26595.0
2011,I,53465.0
2011,J,5865.0
2011,K,132298.0
2011,M,9442.0
2011,N,25188.0
2011,O,44886.0
2012,A,66130.0
2012,B,346.0
2012,C,1171.0
2012,D,58395.0
2012,E,1141.0
2012,F,25596.0
2012,G,158194.0
2012,H,27567.0
2012,I,54253.0
2012,J,5915.0
2012,K,131033.0
2012,M,9543.0
2012,N,25656.0
2012,O,44093.0
2013,A,65185.0
2013,B,341.0
2013,C,1175.0
2013,D,58335.0
2013,E,1140.0
2013,F,25848.0
2013,G,160199.0
2013,H,28338.0
2013,I,54621.0
2013,J,6058.0
2013,K,130034.0
2013,M,9500.0
2013,N,26129.0
2013,O,43036.0
2014,A,63745.0
2014,B,344.0
2014,C,1170.0
2014,D,58190.0
2014,E,1125.0
2014,F,25946.0
2014,G,160785.0
2014,H,28905.0
2014,I,53978.0
2014,J,5972.0
2014,K,128623.0
2014,M,9478.0
2014,N,26258.0
2014,O,42334.0
2015,A,62032.0
2015,B,322.0
2015,C,1196.0
2015,D,58400.0
2015,E,1130.0
2015,F,25957.0
2015,G,164178.0
2015,H,29409.0
2015,I,53787.0
