Período,Altas,Bajas,Creacion_Neta,Empleo_Total
2º Trim 1996,266375.0,225151.0,41224.0,3465517.0
3º Trim 1996,277575.0,214673.0,62902.0,3528419.0
4º Trim 1996,287283.0,188709.0,98574.0,3626993.0
1º Trim 1997,316272.0,218728.0,97544.0,3724537.0
2º Trim 1997,300945.0,249573.0,51372.0,3775909.0
3º Trim 1997,297471.0,237759.0,59712.0,3835621.0
4º Trim 1997,321114.0,203723.0,117391.0,3953012.0
1º Trim 1998,353541.0,250200.0,103341.0,4056353.0
2º Trim 1998,300407.0,288127.0,12280.0,4068633.0
3º Trim 1998,284397.0,259916.0,24481.0,4093114.0
4º Trim 1998,272930.0,247288.0,25642.0,4118756.0
1º Trim 1999,294133.0,308299.0,-14166.0,4104590.0
2º Trim 1999,257310.0,309695.0,-52385.0,4052205.0
3º Trim 1999,222439.0,262805.0,-40366.0,4011839.0
4º Trim 1999,248252.0,235049.0,13203.0,4025042.0
1º Trim 2000,272228.0,270346.0,1882.0,4026924.0
2º Trim 2000,237235.0,295709.0,-58474.0,3968450.0
3º Trim 2000,250535.0,248444.0,2091.0,3970541.0
4º Trim 2000,273438.0,227326.0,46112.0,4016653.0
1º Trim 2001,268839.0,249173.0,19666.0,4036319.0
2º Trim 2001,234844.0,290465.0,-55621.0,3980698.0
3º Trim 2001,190093.0,291136.0,-101043.0,3879655.0
4º Trim 2001,188140.0,281650.0,-93510.0,3786145.0
1º Trim 2002,159734.0,336614.0,-176880.0,3609265.0
2º Trim 2002,160377.0,259220.0,-98843.0,3510422.0
3º Trim 2002,157823.0,199656.0,-41833.0,3468589.0
4º Trim 2002,202855.0,164749.0,38106.0,3506695.0
1º Trim 2003,254840.0,159389.0,95451.0,3602146.0
2º Trim 2003,252838.0,187115.0,65723.0,3667869.0
3º Trim 2003,252239.0,164659.0,87580.0,3755449.0
4º Trim 2003,292999.0,158599.0,134400.0,3889849.0
1º Trim 2004,307536.0,179503.0,128033.0,4017882.0
2º Trim 2004,294615.0,215922.0,78693.0,4096575.0
3º Trim 2004,315193.0,179537.0,135656.0,4232231.0
4º Trim 2004,327075.0,170865.0,156210.0,4388441.0
1º Trim 2005,348938.0,203418.0,145520.0,4533961.0
2º Trim 2005,341848.0,248247.0,93601.0,4627562.0
3º Trim 2005,304039.0,211889.0,92150.0,4719712.0
4º Trim 2005,366851.0,195166.0,171685.0,4891397.0
1º Trim 2006,371902.0,244727.0,127175.0,5018572.0
2º Trim 2006,352999.0,293370.0,59629.0,5078201.0
3º Trim 2006,311652.0,240962.0,70690.0,5148891.0
4º Trim 2006,380192.0,218007.0,162185.0,5311076.0
1º Trim 2007,406193.0,270021.0,136172.0,5447248.0
2º Trim 2007,376862.0,310811.0,66051.0,5513299.0
3º Trim 2007,349308.0,259760.0,89548.0,5602847.0
4º Trim 2007,417593.0,239138.0,178455.0,5781302.0
1º Trim 2008,417464.0,323180.0,94284.0,5875586.0
2º Trim 2008,390598.0,338752.0,51846.0,5927432.0
3º Trim 2008,314697.0,307084.0,7613.0,5935045.0
4º Trim 2008,329596.0,301113.0,28483.0,5963528.0
1º Trim 2009,311314.0,377453.0,-66139.0,5897389.0
2º Trim 2009,297489.0,391957.0,-94468.0,5802921.0
3º Trim 2009,275565.0,286277.0,-10712.0,5792209.0
4º Trim 2009,340998.0,257502.0,83496.0,5875705.0
1º Trim 2010,359640.0,291887.0,67753.0,5943458.0
2º Trim 2010,341672.0,339259.0,2413.0,5945871.0
3º Trim 2010,298053.0,263695.0,34358.0,5980229.0
4º Trim 2010,360394.0,237102.0,123292.0,6103521.0
1º Trim 2011,393494.0,279553.0,113941.0,6217462.0
2º Trim 2011,362875.0,335052.0,27823.0,6245285.0
3º Trim 2011,316564.0,279184.0,37380.0,6282665.0
4º Trim 2011,354581.0,254480.0,100101.0,6382766.0
1º Trim 2012,344725.0,318380.0,26345.0,6409111.0
2º Trim 2012,309397.0,374448.0,-65051.0,6344060.0
3º Trim 2012,265906.0,289347.0,-23441.0,6320619.0
4º Trim 2012,324162.0,250534.0,73628.0,6394247.0
1º Trim 2013,345465.0,292685.0,52780.0,6447027.0
2º Trim 2013,311287.0,350978.0,-39691.0,6407336.0
3º Trim 2013,277310.0,289896.0,-12586.0,6394750.0
4º Trim 2013,310326.0,253741.0,56585.0,6451335.0
1º Trim 2014,318833.0,310033.0,8800.0,6460135.0
2º Trim 2014,304204.0,362569.0,-58365.0,6401770.0
3º Trim 2014,266775.0,262952.0,3823.0,6405593.0
4º Trim 2014,322165.0,247830.0,74335.0,6479928.0
1º Trim 2015,346172.0,267498.0,78674.0,6558602.0
2º Trim 2015,332621.0,321957.0,10664.0,6569266.0
3º Trim 2015,281070.0,261347.0,19723.0,6588989.0
4º Trim 2015,286614.0,258582.0,28032.0,6617021.0
1º Trim 2016,314409.0,318038.0,-3629.0,6613392.0
2º Trim 2016,274276.0,362274.0,-87998.0,6525394.0
3º Trim 2016,250275.0,274944.0,-24669.0,6500725.0
4º Trim 2016,302339.0,245361.0,56978.0,6557703.0
1º Trim 2017,347752.0,288853.0,58899.0,6616602.0
2º Trim 2017,302200.0,347446.0,-45246.0,6571356.0
3º Trim 2017,286383.0,261476.0,24907.0,6596263.0
4º Trim 2017,322390.0,243887.0,78503.0,6674766.0
1º Trim 2018,359639.0,313366.0,46273.0,6721039.0
2º Trim 2018,297425.0,370346.0,-72921.0,6648118.0
3º Trim 2018,285072.0,347054.0,-61982.0,6586136.0
4º Trim 2018,274018.0,291600.0,-17582.0,6568554.0
1º Trim 2019,315450.0,307761.0,7689.0,6576243.0
2º Trim 2019,270202.0,363853.0,-93651.0,6482592.0
3º Trim 2019,235134.0,274222.0,-39088.0,6443504.0
4º Trim 2019,249578.0,287603.0,-38025.0,6405479.0
1º Trim 2020,278380.0,298669.0,-20289.0,6385190.0
2º Trim 2020,139915.0,396702.0,-256787.0,6128403.0
3º Trim 2020,174302.0,196082.0,-21780.0,6106623.0
4º Trim 2020,235691.0,184193.0,51498.0,6158121.0
1º Trim 2021,290925.0,203164.0,87761.0,6245882.0
2º Trim 2021,250084.0,247926.0,2158.0,6248040.0
3º Trim 2021,233072.0,208799.0,24273.0,6272313.0
4º Trim 2021,303538.0,195917.0,107621.0,6379934.0
1º Trim 2022,347105.0,213522.0,133583.0,6513517.0
2º Trim 2022,310141.0,282708.0,27433.0,6540950.0
3º Trim 2022,287892.0,222383.0,65509.0,6606459.0
4º Trim 2022,303165.0,220678.0,82487.0,6688946.0
1º Trim 2023,344141.0,242517.0,101624.0,6790570.0
2º Trim 2023,298793.0,306804.0,-8011.0,6782559.0
3º Trim 2023,271085.0,241142.0,29943.0,6812502.0
4º Trim 2023,253871.0,260883.0,-7012.0,6805490.0
