Período,Sector,Altas,Bajas,Creacion_Neta
1º Trim 1996,A,33452.0,31263.0,2189.0
1º Trim 1996,A,28900.0,33529.0,-4629.0
2º Trim 1996,A,28266.0,21671.0,6595.0
1º Trim 1997,A,40702.0,19890.0,20812.0
1º Trim 1997,A,35985.0,37314.0,-1329.0
1º Trim 1997,A,23905.0,35760.0,-11855.0
2º Trim 1997,A,29247.0,24050.0,5197.0
1º Trim 1998,A,41042.0,21174.0,19868.0
1º Trim 1998,A,28877.0,42908.0,-14031.0
1º Trim 1998,A,23448.0,28336.0,-4888.0
2º Trim 1998,A,25916.0,23933.0,1983.0
1º Trim 1999,A,37849.0,22644.0,15205.0
1º Trim 1999,A,25809.0,40714.0,-14905.0
1º Trim 1999,A,19664.0,28923.0,-9259.0
2º Trim 1999,A,23640.0,23111.0,529.0
1º Trim 2000,A,35126.0,21846.0,13280.0
1º Trim 2000,A,29134.0,38406.0,-9272.0
1º Trim 2000,A,21889.0,25631.0,-3742.0
2º Trim 2000,A,25886.0,26197.0,-311.0
1º Trim 2001,A,34299.0,20189.0,14110.0
1º Trim 2001,A,30504.0,36391.0,-5887.0
1º Trim 2001,A,18330.0,33193.0,-14863.0
2º Trim 2001,A,21338.0,30223.0,-8885.0
1º Trim 2002,A,29384.0,22248.0,7136.0
1º Trim 2002,A,26593.0,32079.0,-5486.0
1º Trim 2002,A,17749.0,22717.0,-4968.0
2º Trim 2002,A,25044.0,24591.0,453.0
1º Trim 2003,A,35715.0,16514.0,19201.0
1º Trim 2003,A,33951.0,32600.0,1351.0
1º Trim 2003,A,22744.0,24428.0,-1684.0
2º Trim 2003,A,30446.0,28426.0,2020.0
1º Trim 2004,A,40476.0,17722.0,22754.0
1º Trim 2004,A,40051.0,37852.0,2199.0
1º Trim 2004,A,25528.0,28482.0,-2954.0
2º Trim 2004,A,32949.0,29393.0,3556.0
1º Trim 2005,A,45831.0,22242.0,23589.0
1º Trim 2005,A,43233.0,41179.0,2054.0
1º Trim 2005,A,25722.0,32949.0,-7227.0
2º Trim 2005,A,37164.0,32750.0,4414.0
1º Trim 2006,A,49489.0,26983.0,22506.0
1º Trim 2006,A,41674.0,45126.0,-3452.0
1º Trim 2006,A,26669.0,35724.0,-9055.0
2º Trim 2006,A,38706.0,32227.0,6479.0
1º Trim 2007,A,50608.0,30571.0,20037.0
1º Trim 2007,A,42229.0,46530.0,-4301.0
1º Trim 2007,A,27255.0,38327.0,-11072.0
2º Trim 2007,A,43663.0,30523.0,13140.0
1º Trim 2008,A,53215.0,35745.0,17470.0
1º Trim 2008,A,50390.0,47855.0,2535.0
1º Trim 2008,A,27561.0,42230.0,-14669.0
2º Trim 2008,A,46292.0,35041.0,11251.0
1º Trim 2009,A,47861.0,42822.0,5039.0
1º Trim 2009,A,41168.0,55749.0,-14581.0
1º Trim 2009,A,25697.0,36771.0,-11074.0
2º Trim 2009,A,46539.0,33660.0,12879.0
1º Trim 2010,A,51571.0,44307.0,7264.0
1º Trim 2010,A,43752.0,51196.0,-7444.0
1º Trim 2010,A,25074.0,40234.0,-15160.0
2º Trim 2010,A,47811.0,32730.0,15081.0
1º Trim 2011,A,57895.0,38900.0,18995.0
1º Trim 2011,A,51833.0,52407.0,-574.0
1º Trim 2011,A,27566.0,44380.0,-16814.0
2º Trim 2011,A,45225.0,33221.0,12004.0
1º Trim 2012,A,46670.0,40810.0,5860.0
1º Trim 2012,A,40551.0,51754.0,-11203.0
1º Trim 2012,A,25370.0,37147.0,-11777.0
2º Trim 2012,A,40872.0,31383.0,9489.0
1º Trim 2013,A,53200.0,35639.0,17561.0
1º Trim 2013,A,43613.0,51770.0,-8157.0
1º Trim 2013,A,20952.0,43166.0,-22214.0
2º Trim 2013,A,35859.0,34810.0,1049.0
1º Trim 2014,A,46370.0,29576.0,16794.0
1º Trim 2014,A,41745.0,48598.0,-6853.0
1º Trim 2014,A,29403.0,34162.0,-4759.0
2º Trim 2014,A,41661.0,31096.0,10565.0
1º Trim 2015,A,47718.0,33605.0,14113.0
1º Trim 2015,A,38374.0,50098.0,-11724.0
1º Trim 2015,A,22606.0,37549.0,-14943.0
2º Trim 2015,A,30706.0,30912.0,-206.0
1º Trim 2016,A,42066.0,29107.0,12959.0
1º Trim 2016,A,34217.0,45064.0,-10847.0
1º Trim 2016,A,25188.0,29271.0,-4083.0
2º Trim 2016,A,39076.0,25775.0,13301.0
1º Trim 2017,A,47019.0,35413.0,11606.0
1º Trim 2017,A,37035.0,51691.0,-14656.0
1º Trim 2017,A,26025.0,32829.0,-6804.0
2º Trim 2017,A,38512.0,26888.0,11624.0
1º Trim 2018,A,46948.0,32772.0,14176.0
1º Trim 2018,A,36109.0,49865.0,-13756.0
1º Trim 2018,A,28405.0,31613.0,-3208.0
2º Trim 2018,A,42721.0,28964.0,13757.0
1º Trim 2019,A,45080.0,37098.0,7982.0
1º Trim 2019,A,41468.0,49023.0,-7555.0
1º Trim 2019,A,27150.0,36681.0,-9531.0
2º Trim 2019,A,37414.0,34085.0,3329.0
1º Trim 2020,A,44232.0,33958.0,10274.0
1º Trim 2020,A,32525.0,47387.0,-14862.0
1º Trim 2020,A,20247.0,28950.0,-8703.0
2º Trim 2020,A,28181.0,26504.0,1677.0
1º Trim 2021,A,41018.0,22981.0,18037.0
1º Trim 2021,A,35251.0,38495.0,-3244.0
1º Trim 2021,A,22051.0,28922.0,-6871.0
2º Trim 2021,A,28545.0,30572.0,-2027.0
1º Trim 2022,A,35591.0,23900.0,11691.0
1º Trim 2022,A,30113.0,41573.0,-11460.0
1º Trim 2022,A,19936.0,29459.0,-9523.0
2º Trim 2022,A,26009.0,26781.0,-772.0
1º Trim 2023,A,38029.0,22043.0,15986.0
1º Trim 2023,A,29607.0,40104.0,-10497.0
1º Trim 2023,A,19839.0,25152.0,-5313.0
2º Trim 2023,A,23423.0,26448.0,-3025.0
1º Trim 2024,A,40912.0,18529.0,22383.0
1º Trim 2024,A,35025.0,37571.0,-2546.0
1º Trim 2024,A,20435.0,28881.0,-8446.0
2º Trim 2024,A,27335.0,27502.0,-167.0
1º Trim 2025,A,34051.0,22202.0,11849.0
1º Trim 2025,A,33126.0,37778.0,-4652.0
1º Trim 1996,B,1838.0,699.0,1139.0
1º Trim 1996,B,865.0,663.0,202.0
2º Trim 1996,B,942.0,1668.0,-726.0
1º Trim 1997,B,1722.0,724.0,998.0
1º Trim 1997,B,1510.0,760.0,750.0
1º Trim 1997,B,756.0,1183.0,-427.0
2º Trim 1997,B,909.0,1956.0,-1047.0
1º Trim 1998,B,1984.0,1093.0,891.0
1º Trim 1998,B,1395.0,659.0,736.0
1º Trim 1998,B,537.0,1585.0,-1048.0
2º Trim 1998,B,686.0,1434.0,-748.0
1º Trim 1999,B,1278.0,695.0,583.0
1º Trim 1999,B,811.0,711.0,100.0
1º Trim 1999,B,619.0,1449.0,-830.0
2º Trim 1999,B,982.0,1161.0,-179.0
1º Trim 2000,B,1168.0,664.0,504.0
1º Trim 2000,B,716.0,1036.0,-320.0
1º Trim 2000,B,935.0,981.0,-46.0
2º Trim 2000,B,1031.0,671.0,360.0
1º Trim 2001,B,1573.0,597.0,976.0
1º Trim 2001,B,1259.0,671.0,588.0
1º Trim 2001,B,675.0,1097.0,-422.0
2º Trim 2001,B,1281.0,1150.0,131.0
1º Trim 2002,B,1611.0,526.0,1085.0
1º Trim 2002,B,1863.0,507.0,1356.0
1º Trim 2002,B,880.0,1141.0,-261.0
2º Trim 2002,B,1377.0,1293.0,84.0
1º Trim 2003,B,1847.0,782.0,1065.0
1º Trim 2003,B,1628.0,643.0,985.0
1º Trim 2003,B,700.0,2102.0,-1402.0
2º Trim 2003,B,1071.0,680.0,391.0
1º Trim 2004,B,2284.0,747.0,1537.0
1º Trim 2004,B,1239.0,755.0,484.0
1º Trim 2004,B,539.0,2044.0,-1505.0
2º Trim 2004,B,711.0,890.0,-179.0
1º Trim 2005,B,1794.0,533.0,1261.0
1º Trim 2005,B,932.0,547.0,385.0
1º Trim 2005,B,332.0,1977.0,-1645.0
2º Trim 2005,B,1415.0,410.0,1005.0
1º Trim 2006,B,1832.0,702.0,1130.0
1º Trim 2006,B,1345.0,554.0,791.0
1º Trim 2006,B,703.0,2290.0,-1587.0
2º Trim 2006,B,679.0,998.0,-319.0
1º Trim 2007,B,1670.0,662.0,1008.0
1º Trim 2007,B,1362.0,673.0,689.0
1º Trim 2007,B,508.0,1989.0,-1481.0
2º Trim 2007,B,491.0,1307.0,-816.0
1º Trim 2008,B,1182.0,875.0,307.0
1º Trim 2008,B,1573.0,563.0,1010.0
1º Trim 2008,B,456.0,1260.0,-804.0
2º Trim 2008,B,629.0,1618.0,-989.0
1º Trim 2009,B,993.0,712.0,281.0
1º Trim 2009,B,902.0,631.0,271.0
1º Trim 2009,B,469.0,1135.0,-666.0
2º Trim 2009,B,427.0,1000.0,-573.0
1º Trim 2010,B,1146.0,549.0,597.0
1º Trim 2010,B,595.0,825.0,-230.0
1º Trim 2010,B,1040.0,438.0,602.0
2º Trim 2010,B,548.0,1415.0,-867.0
1º Trim 2011,B,1398.0,411.0,987.0
1º Trim 2011,B,1045.0,930.0,115.0
1º Trim 2011,B,721.0,684.0,37.0
2º Trim 2011,B,590.0,1292.0,-702.0
1º Trim 2012,B,995.0,805.0,190.0
