Período,Sexo,Empleo
3º Trim 2003,Mujeres,3888.0713606119307
3º Trim 2003,Varones,5135.238937897731
4º Trim 2003,Mujeres,3856.3296271056256
4º Trim 2003,Varones,5394.033760467516
1º Trim 2004,Mujeres,3855.466170115805
1º Trim 2004,Varones,5403.057902003825
2º Trim 2004,Mujeres,3981.520088852102
2º Trim 2004,Varones,5383.790918770545
3º Trim 2004,Mujeres,4007.0685207475385
3º Trim 2004,Varones,5548.966487974498
4º Trim 2004,Mujeres,4059.9420284138723
4º Trim 2004,Varones,5610.593020779485
1º Trim 2005,Mujeres,3959.8797979021283
1º Trim 2005,Varones,5560.344191860773
2º Trim 2005,Mujeres,4027.160766509149
2º Trim 2005,Varones,5609.413439166172
3º Trim 2005,Mujeres,4121.661020715744
3º Trim 2005,Varones,5789.679278746699
4º Trim 2005,Mujeres,4230.275615731525
4º Trim 2005,Varones,5784.628380305915
1º Trim 2006,Mujeres,4154.467542861949
1º Trim 2006,Varones,5745.799476907074
2º Trim 2006,Mujeres,4274.972058641744
2º Trim 2006,Varones,5883.225502469739
3º Trim 2006,Mujeres,4261.49418577667
3º Trim 2006,Varones,5898.880294966373
4º Trim 2006,Mujeres,4326.835065278014
4º Trim 2006,Varones,5971.072907734866
1º Trim 2007,Mujeres,4251.635619877824
1º Trim 2007,Varones,5990.551037874563
2º Trim 2016,Mujeres,4844.680113865328
2º Trim 2016,Varones,6627.718815255745
3º Trim 2016,Mujeres,5011.417428799913
3º Trim 2016,Varones,6602.800470788376
4º Trim 2016,Mujeres,4946.748623438578
4º Trim 2016,Varones,6650.0017601746995
1º Trim 2017,Mujeres,4822.46410930996
1º Trim 2017,Varones,6638.358096001808
2º Trim 2017,Mujeres,4941.822635
2º Trim 2017,Varones,6569.225539200001
3º Trim 2017,Mujeres,5058.2302953
3º Trim 2017,Varones,6752.5710252
4º Trim 2017,Mujeres,5127.353879999999
4º Trim 2017,Varones,6883.97416
1º Trim 2018,Mujeres,5120.482849999999
1º Trim 2018,Varones,6745.899079999999
2º Trim 2018,Mujeres,5127.7440223
2º Trim 2018,Varones,6629.8551437
3º Trim 2018,Mujeres,5144.297
3º Trim 2018,Varones,6677.727
4º Trim 2018,Mujeres,5158.721
4º Trim 2018,Varones,6634.676
1º Trim 2019,Mujeres,5155.651
1º Trim 2019,Varones,6791.666
2º Trim 2019,Mujeres,5304.356
2º Trim 2019,Varones,6769.037
3º Trim 2019,Mujeres,5215.80187475592
3º Trim 2019,Varones,6893.230432346318
4º Trim 2019,Mujeres,5382.743
4º Trim 2019,Varones,6857.376
1º Trim 2020,Mujeres,5324.595
1º Trim 2020,Varones,6720.605
2º Trim 2020,Mujeres,4166.441
2º Trim 2020,Varones,5379.639
3º Trim 2020,Mujeres,4616.247
3º Trim 2020,Varones,6041.602
4º Trim 2020,Mujeres,5045.072
4º Trim 2020,Varones,6478.577
1º Trim 2021,Mujeres,5058.472
1º Trim 2021,Varones,6923.515
2º Trim 2021,Mujeres,5116.948
2º Trim 2021,Varones,6864.532
3º Trim 2021,Mujeres,5443.665
3º Trim 2021,Varones,6959.873
4º Trim 2021,Mujeres,5517.344
4º Trim 2021,Varones,7126.238
1º Trim 2022,Mujeres,5494.065
1º Trim 2022,Varones,7089.912
2º Trim 2022,Mujeres,5715.321
2º Trim 2022,Varones,7277.944
3º Trim 2022,Mujeres,5642.0
3º Trim 2022,Varones,7280.0
4º Trim 2022,Mujeres,5722.149
4º Trim 2022,Varones,7338.953
1º Trim 2023,Mujeres,5804.396
1º Trim 2023,Varones,7386.964999999999
2º Trim 2023,Mujeres,5784.891
2º Trim 2023,Varones,7322.748
3º Trim 2023,Mujeres,5934.315
3º Trim 2023,Varones,7461.887
4º Trim 2023,Mujeres,5993.147
4º Trim 2023,Varones,7524.79
1º Trim 2024,Mujeres,5843.743
1º Trim 2024,Varones,7270.185
2º Trim 2024,Mujeres,5913.68
2º Trim 2024,Varones,7384.220999999999
3º Trim 2024,Mujeres,5889.957
3º Trim 2024,Varones,7478.083
1º Trim 2025,Mujeres,5803.376
1º Trim 2025,Varones,7455.432999999999
2º Trim 2025,Mujeres,5890.606
2º Trim 2025,Varones,7413.775
