Período,Sexo,Remuneracion,Brecha
2º Trim 2005,Mujeres,35.20359333333333,45.67
2º Trim 2005,Varones,64.79639333333334,45.67
3º Trim 2005,Mujeres,34.85384666666667,46.5
3º Trim 2005,Varones,65.14616666666666,46.5
4º Trim 2005,Mujeres,35.33053666666667,45.37
4º Trim 2005,Varones,64.66945666666666,45.37
1º Trim 2006,Mujeres,33.836639999999996,48.86
1º Trim 2006,Varones,66.16330999999998,48.86
2º Trim 2006,Mujeres,33.800036666666664,48.94
2º Trim 2006,Varones,66.19995666666667,48.94
3º Trim 2006,Mujeres,30.602218437189865,55.9
3º Trim 2006,Varones,69.39778489614343,55.9
4º Trim 2006,Mujeres,34.04869021240854,48.37
4º Trim 2006,Varones,65.95130978759146,48.37
1º Trim 2007,Mujeres,33.85882111651079,48.81
1º Trim 2007,Varones,66.1411788834892,48.81
2º Trim 2007,Mujeres,34.63225237357845,47.02
2º Trim 2007,Varones,65.36774762642155,47.02
3º Trim 2007,Mujeres,35.55369790097471,44.83
3º Trim 2007,Varones,64.44630209902529,44.83
4º Trim 2007,Mujeres,35.8359723363698,44.15
4º Trim 2007,Varones,64.1640276636302,44.15
1º Trim 2008,Mujeres,35.85496635242989,44.1
1º Trim 2008,Varones,64.14503364757012,44.1
2º Trim 2008,Mujeres,36.393491202275015,42.78
2º Trim 2008,Varones,63.606508797724985,42.78
3º Trim 2008,Mujeres,35.50080069674184,44.96
3º Trim 2008,Varones,64.49919930325815,44.96
4º Trim 2008,Mujeres,34.92034695193587,46.34
4º Trim 2008,Varones,65.07965304806413,46.34
1º Trim 2009,Mujeres,34.067679030184934,48.33
1º Trim 2009,Varones,65.93232096981507,48.33
2º Trim 2009,Mujeres,35.270667931827326,45.51
2º Trim 2009,Varones,64.72933206817267,45.51
3º Trim 2009,Mujeres,36.19597027986148,43.27
3º Trim 2009,Varones,63.80402972013852,43.27
4º Trim 2009,Mujeres,35.77680884052999,44.29
4º Trim 2009,Varones,64.22319115947003,44.29
1º Trim 2010,Mujeres,35.57588920252886,44.78
1º Trim 2010,Varones,64.42411079747114,44.78
2º Trim 2010,Mujeres,36.8280625210919,41.7
2º Trim 2010,Varones,63.17193747890811,41.7
3º Trim 2010,Mujeres,37.2254147785846,40.7
3º Trim 2010,Varones,62.77458522141541,40.7
4º Trim 2010,Mujeres,36.094878664883716,43.52
4º Trim 2010,Varones,63.9051213351163,43.52
1º Trim 2011,Mujeres,33.71065424558885,49.15
1º Trim 2011,Varones,66.28934575441114,49.15
2º Trim 2011,Mujeres,31.98404793183779,52.98
2º Trim 2011,Varones,68.0159520681622,52.98
3º Trim 2011,Mujeres,32.3707729379959,52.13
3º Trim 2011,Varones,67.62922706200409,52.13
4º Trim 2011,Mujeres,32.3645250511107,52.15
4º Trim 2011,Varones,67.6354749488893,52.15
1º Trim 2012,Mujeres,32.63466456701811,51.56
1º Trim 2012,Varones,67.3653354329819,51.56
2º Trim 2012,Mujeres,32.75897452483205,51.28
2º Trim 2012,Varones,67.24102547516794,51.28
3º Trim 2012,Mujeres,33.06181019534382,50.61
3º Trim 2012,Varones,66.93818980465618,50.61
4º Trim 2012,Mujeres,32.84743271985469,51.09
4º Trim 2012,Varones,67.15256728014532,51.09
1º Trim 2013,Mujeres,34.40572416551965,47.55
1º Trim 2013,Varones,65.59427583448036,47.55
2º Trim 2013,Mujeres,33.86797747681812,48.79
2º Trim 2013,Varones,66.13202252318189,48.79
3º Trim 2013,Mujeres,33.65156013179567,49.28
3º Trim 2013,Varones,66.34843986820432,49.28
4º Trim 2013,Mujeres,33.86567948350971,48.79
4º Trim 2013,Varones,66.13432051649029,48.79
1º Trim 2014,Mujeres,33.51087248205792,49.6
1º Trim 2014,Varones,66.48912751794207,49.6
2º Trim 2014,Mujeres,33.802991154473155,48.94
2º Trim 2014,Varones,66.19700884552684,48.94
3º Trim 2014,Mujeres,33.85492361096357,48.82
3º Trim 2014,Varones,66.14507638903643,48.82
4º Trim 2014,Mujeres,33.81037938821084,48.92
4º Trim 2014,Varones,66.18962061178917,48.92
1º Trim 2015,Mujeres,34.33407263214517,47.71
1º Trim 2015,Varones,65.66592736785482,47.71
2º Trim 2015,Mujeres,33.28112989502828,50.12
2º Trim 2015,Varones,66.71887010497171,50.12
3º Trim 2015,Mujeres,34.10839130164295,48.24
3º Trim 2015,Varones,65.89160869835705,48.24
4º Trim 2015,Mujeres,33.855314619698426,48.82
4º Trim 2015,Varones,66.14468538030157,48.82
1º Trim 2016,Mujeres,34.17005337669131,48.09
1º Trim 2016,Varones,65.82994662330869,48.09
2º Trim 2016,Mujeres,34.44751185274786,47.45
2º Trim 2016,Varones,65.55248814725213,47.45
3º Trim 2016,Mujeres,34.04635255881828,48.38
3º Trim 2016,Varones,65.95364744118172,48.38
4º Trim 2016,Mujeres,35.20663213362945,45.66
4º Trim 2016,Varones,64.79336786637056,45.66
1º Trim 2017,Mujeres,35.91276073072542,43.96
1º Trim 2017,Varones,64.08723926927458,43.96
2º Trim 2017,Mujeres,35.82842553305377,44.17
2º Trim 2017,Varones,64.17157446694624,44.17
3º Trim 2017,Mujeres,36.508304894653016,42.5
