Período,IPC
Enero 2000,6.419493596804943
Febrero 2000,6.419756522387597
Marzo 2000,6.385837787577595
Abril 2000,6.378657383340644
Mayo 2000,6.35386363436113
Junio 2000,6.342116065942241
Julio 2000,6.369660523682416
Agosto 2000,6.355956361841337
Septiembre 2000,6.346196083740076
Octubre 2000,6.357568616175585
Noviembre 2000,6.326316507325696
Diciembre 2000,6.319244209546591
Enero 2001,6.324326547712817
Febrero 2001,6.309920361219577
Marzo 2001,6.321942867049772
Abril 2001,6.364201814885181
Mayo 2001,6.36832053746422
Junio 2001,6.322387304709791
Julio 2001,6.301708274366431
Agosto 2001,6.279170079877702
Septiembre 2001,6.274416065027887
Octubre 2001,6.246735473229686
Noviembre 2001,6.226248632144712
Diciembre 2001,6.221514637009309
Enero 2002,6.364149763627703
Febrero 2002,6.5640145805212535
Marzo 2002,6.823652926068334
Abril 2002,7.532537667037281
Mayo 2002,7.834648504040198
Junio 2002,8.11842128263872
Julio 2002,8.377289536504625
Agosto 2002,8.57348273777441
Septiembre 2002,8.689290112428697
Octubre 2002,8.70828214817066
Noviembre 2002,8.752619142362379
Diciembre 2002,8.769008615230355
Enero 2003,8.884695871598145
Febrero 2003,8.934985394209342
Marzo 2003,8.987143423499298
Abril 2003,8.992108312674286
Mayo 2003,8.95762101797489
Junio 2003,8.949946794115696
Julio 2003,8.989692600468178
Agosto 2003,8.991881422577583
Septiembre 2003,8.995444931743501
Octubre 2003,9.04847048199145
Noviembre 2003,9.070785790326354
Diciembre 2003,9.090044755593858
Enero 2004,9.1282557171745
Febrero 2004,9.137438092852976
Marzo 2004,9.191651479489568
Abril 2004,9.270515807809511
Mayo 2004,9.338249174914557
Junio 2004,9.391101220970906
Julio 2004,9.43438384353675
Agosto 2004,9.466789087936958
Septiembre 2004,9.526367758036844
Octubre 2004,9.564071553518964
Noviembre 2004,9.564285097139392
Diciembre 2004,9.64424383651404
Enero 2005,9.78754495229865
Febrero 2005,9.8801294582312
Marzo 2005,10.03285318626727
Abril 2005,10.082048297823755
Mayo 2005,10.142614607168133
Junio 2005,10.235506082055055
Julio 2005,10.338287295863124
Agosto 2005,10.383451771584005
Septiembre 2005,10.504210688937
Octubre 2005,10.686977613303055
Noviembre 2005,10.810781381795318
Diciembre 2005,10.892521378338564
Enero 2006,11.026666772234234
Febrero 2006,11.05913925651843
Marzo 2006,11.17109854912237
Abril 2006,11.256907951956665
Mayo 2006,11.302285182226054
Junio 2006,11.358922749324368
Julio 2006,11.41114489939418
Agosto 2006,11.45438793003418
Septiembre 2006,11.53010374751555
Octubre 2006,11.607931446445049
Noviembre 2006,11.709372709034453
Diciembre 2006,11.86209347511458
Enero 2007,11.996110556503396
Febrero 2007,12.053798634488768
Marzo 2007,12.161347084390032
Abril 2007,12.437192516195742
Mayo 2007,12.696320043043515
Junio 2007,13.033464459694926
Julio 2007,13.365965013858036
Agosto 2007,13.80991826774061
Septiembre 2007,14.086692472043966
Octubre 2007,14.288236104036688
Noviembre 2007,14.23065220918162
Diciembre 2007,14.369968083830972
Enero 2008,14.660673875599258
Febrero 2008,14.988530567274044
Marzo 2008,15.597805325740518
Abril 2008,16.064049119566988
Mayo 2008,16.103986336966457
Junio 2008,16.49407078598462
Julio 2008,16.725335137902544
Agosto 2008,16.861864695058888
Septiembre 2008,17.0439041046007
Octubre 2008,17.14328276185057
Noviembre 2008,17.252877916574715
Diciembre 2008,17.329966033880694
Enero 2009,17.530580893375745
Febrero 2009,17.528723348380424
Marzo 2009,17.938312019849484
Abril 2009,18.26523993902661
Mayo 2009,18.4231312636292
Junio 2009,18.52065237588373
Julio 2009,18.70640687541621
Agosto 2009,19.0537677895419
Septiembre 2009,19.347259898803184
Octubre 2009,19.66861518299434
Noviembre 2009,19.894306899926264
Diciembre 2009,20.5314448333226
Enero 2010,20.98654335717713
Febrero 2010,21.900455494876827
Marzo 2010,22.476294443427435
Abril 2010,22.783718140153663
Mayo 2010,23.144081869246637
Junio 2010,23.395779216113095
Julio 2010,23.73849626775049
Agosto 2010,23.99019361461697
Septiembre 2010,24.37099033865851
Octubre 2010,25.16694836915511
Noviembre 2010,25.644337432953527
Diciembre 2010,26.0808605068548
Enero 2011,26.367851208632427
Febrero 2011,26.65205559291709
Marzo 2011,27.36070900863344
Abril 2011,28.07121996934509
Mayo 2011,28.559754303115447
Junio 2011,28.98977596953309
Julio 2011,29.494099435763708
Agosto 2011,30.211111803958985
Septiembre 2011,30.790665842500275
Octubre 2011,31.129667804146997
Noviembre 2011,31.562475788057636
Diciembre 2011,32.151317551575545
Enero 2012,32.52282655064045
Febrero 2012,33.00114438693652
Marzo 2012,34.119386474121924
Abril 2012,34.80203425990369
Mayo 2012,35.46610659573224
Junio 2012,35.939780569540005
Julio 2012,38.06068708893979
Agosto 2012,38.6939311947683
Septiembre 2012,39.287741049030885
Octubre 2012,39.870927624423246
Noviembre 2012,40.66272944220955
Diciembre 2012,41.30369969710984
Enero 2013,42.12165735331022
Febrero 2013,42.87876375676495
Marzo 2013,43.74103386983468
Abril 2013,44.53699685154766
Mayo 2013,45.29501360974175
Junio 2013,46.2531055945426
Julio 2013,48.9330157849069
Agosto 2013,49.79266455051923
Septiembre 2013,50.66152917814223
Octubre 2013,51.83161501374358
Noviembre 2013,53.16206131147276
Diciembre 2013,54.64982267943599
Enero 2014,56.896173616398215
Febrero 2014,60.1960291577136
Marzo 2014,62.386129933590695
Abril 2014,63.93907791806641
Mayo 2014,65.55787137349367
Junio 2014,66.91293218880224
Julio 2014,68.10944829153642
Agosto 2014,69.77629095206889
Septiembre 2014,71.54547984476962
Octubre 2014,72.63743319036239
Noviembre 2014,73.75308334237488
Diciembre 2014,74.75902634045818
Enero 2015,76.40973459372871
Febrero 2015,77.66036773423225
Marzo 2015,79.1027842919515
Abril 2015,80.74521406271825
Mayo 2015,82.1921221807749
Junio 2015,83.21861339640691
Julio 2015,84.93423227901224
Agosto 2015,86.46604589077111
Septiembre 2015,88.1603242534856
Octubre 2015,89.43289656634187
Noviembre 2015,91.51561401058898
Diciembre 2015,96.33611692911708
Enero 2016,100.0
Febrero 2016,103.25927538409694
Marzo 2016,106.48426994680244
Abril 2016,111.60349091488315
Mayo 2016,116.75899915241274
Junio 2016,119.61880175812468
Julio 2016,122.04268723315104
Agosto 2016,122.10444318738524
Septiembre 2016,124.05454045198093
Octubre 2016,127.02299283613164
Noviembre 2016,128.91391061337492
Diciembre 2016,130.88389312848437
Enero 2017,132.90004691837254
Febrero 2017,135.63777281798076
Marzo 2017,139.62866667351562
Abril 2017,142.91182671288033
Mayo 2017,145.16164471600268
Junio 2017,146.84118250413948
Julio 2017,149.45970614071396
Agosto 2017,151.67917317022656
Septiembre 2017,154.19366789602483
Octubre 2017,156.45026318947623
Noviembre 2017,158.89852515083632
Diciembre 2017,163.86122949501544
Enero 2018,166.79024349162233
Febrero 2018,170.94685658559789
Marzo 2018,174.8164698044893
Abril 2018,179.7691872016482
Mayo 2018,183.81778349259835
Junio 2018,190.54415340344815
Julio 2018,196.68847171603096
Agosto 2018,203.69031022397093
Septiembre 2018,217.0103411727521
Octubre 2018,228.58974765918347
Noviembre 2018,235.81537788960944
Diciembre 2018,241.52829043071665
Enero 2019,250.18384305076935
Febrero 2019,259.4434948533422
Marzo 2019,270.5201400644503
Abril 2019,279.7416007610991
Mayo 2019,288.56063759438644
Junio 2019,295.9103628973639
Julio 2019,302.0335780223048
Agosto 2019,314.1917692893188
Septiembre 2019,331.91965972720425
Octubre 2019,341.8522169326438
Noviembre 2019,356.66220123825934
Diciembre 2019,370.6220415986924
Enero 2020,381.4124567670488
Febrero 2020,389.45066517954587
Marzo 2020,400.489371751323
Abril 2020,407.2541137973677
Mayo 2020,411.9828477324282
Junio 2020,418.8098382215211
Julio 2020,426.957180049876
Agosto 2020,438.0193774736444
Septiembre 2020,449.1132688458161
Octubre 2020,464.0989033434233
Noviembre 2020,479.4352687213641
Diciembre 2020,501.453713906473
Enero 2021,524.8899454499737
Febrero 2021,543.0892636160737
Marzo 2021,565.6607840770145
Abril 2021,587.8925242287401
Mayo 2021,608.475186354496
Junio 2021,628.3887857987887
Julio 2021,645.761392023951
Agosto 2021,662.0997127960301
Septiembre 2021,683.3938989239114
Octubre 2021,705.2957174741207
Noviembre 2021,724.4009889835254
Diciembre 2021,753.111218882809
Enero 2022,782.2162583239415
Febrero 2022,831.8887886052718
Marzo 2022,888.5913274620387
Abril 2022,937.268294024984
Mayo 2022,986.0682284612
Junio 2022,1034.5048811736688
Julio 2022,1106.3492397822718
Agosto 2022,1181.5184546294158
Septiembre 2022,1252.2831242936702
Octubre 2022,1329.9881410984294
Noviembre 2022,1394.883115003055
Diciembre 2022,1464.6782928837674
Enero 2023,1547.9210947924582
Febrero 2023,1666.7247816214588
Marzo 2023,1792.1783276513197
Abril 2023,1923.475067571422
Mayo 2023,2064.1206881250278
Junio 2023,2174.4092919889385
Julio 2023,2312.725773680488
Agosto 2023,2617.2005558708897
Septiembre 2023,2979.254033656115
Octubre 2023,3217.3793075926333
Noviembre 2023,3629.243320362724
Diciembre 2023,4605.8892170854415
Enero 2024,5552.584875235433
Febrero 2024,6284.969659875243
Marzo 2024,6926.907496218172
Abril 2024,7432.933110962187
Mayo 2024,7727.892627522093
Junio 2024,8040.383094840943
