Período,Remuneracion
Enero 1995,546.48
Febrero 1995,526.2
Marzo 1995,537.8
Abril 1995,516.13
Mayo 1995,531.14
Junio 1995,787.69
Julio 1995,534.46
Agosto 1995,536.89
Septiembre 1995,530.06
Octubre 1995,535.5
Noviembre 1995,533.8
Diciembre 1995,793.31
Enero 1996,539.28
Febrero 1996,523.98
Marzo 1996,517.19
Abril 1996,517.91
Mayo 1996,527.29
Junio 1996,753.14
Julio 1996,519.41
Agosto 1996,518.16
Septiembre 1996,511.09
Octubre 1996,522.57
Noviembre 1996,505.9
Diciembre 1996,747.05
Enero 1997,516.38
Febrero 1997,503.96
Marzo 1997,506.16
Abril 1997,505.17
Mayo 1997,511.67
Junio 1997,735.84
Julio 1997,510.8
Agosto 1997,503.2
Septiembre 1997,510.0
Octubre 1997,512.92
Noviembre 1997,500.0
Diciembre 1997,741.15
Enero 1998,510.4
Febrero 1998,501.0
Marzo 1998,504.5
Abril 1998,505.57
Mayo 1998,505.34
Junio 1998,738.84
Julio 1998,509.45
Agosto 1998,504.35
Septiembre 1998,505.78
Octubre 1998,507.45
Noviembre 1998,500.0
Diciembre 1998,743.81
Enero 1999,508.19
Febrero 1999,500.61
Marzo 1999,506.49
Abril 1999,504.04
Mayo 1999,505.0
Junio 1999,736.24
Julio 1999,506.01
Agosto 1999,504.1
Septiembre 1999,505.24
Octubre 1999,503.95
Noviembre 1999,503.26
Diciembre 1999,744.61
Enero 2000,514.15
Febrero 2000,506.09
Marzo 2000,508.73
Abril 2000,502.75
Mayo 2000,510.25
Junio 2000,739.29
Julio 2000,505.83
Agosto 2000,506.48
Septiembre 2000,503.0
Octubre 2000,503.33
Noviembre 2000,498.96
Diciembre 2000,730.0
Enero 2001,510.4
Febrero 2001,501.0
Marzo 2001,500.5
Abril 2001,502.67
Mayo 2001,505.5
Junio 2001,723.36
Julio 2001,500.0
Agosto 2001,500.0
Septiembre 2001,497.08
Octubre 2001,500.0
Noviembre 2001,499.66
Diciembre 2001,727.27
Enero 2002,510.21
Febrero 2002,501.25
Marzo 2002,500.99
Abril 2002,504.0
Mayo 2002,506.92
Junio 2002,727.2
