Período,Sector,Remuneracion
Enero 1995,A,308.26
Enero 1995,B,789.83
Enero 1995,C,1349.0
Enero 1995,D,634.66
Enero 1995,E,1409.03
Enero 1995,F,365.4
Enero 1995,G,492.91
Enero 1995,H,458.53
Enero 1995,I,914.53
Enero 1995,J,1133.75
Enero 1995,K,462.28
Enero 1995,M,397.13
Enero 1995,N,564.8
Enero 1995,O,531.74
Febrero 1995,A,310.89
Febrero 1995,B,850.0
Febrero 1995,C,1301.24
Febrero 1995,D,586.66
Febrero 1995,E,1268.4
Febrero 1995,F,345.89
Febrero 1995,G,480.37
Febrero 1995,H,454.025
Febrero 1995,I,877.73
Febrero 1995,J,1104.41
Febrero 1995,K,450.28
Febrero 1995,M,396.64
Febrero 1995,N,548.81
Febrero 1995,O,523.1
Marzo 1995,A,331.85
Marzo 1995,B,851.72
Marzo 1995,C,1277.465
Marzo 1995,D,619.74
Marzo 1995,E,1371.53
Marzo 1995,F,378.81
Marzo 1995,G,476.1
Marzo 1995,H,450.44
Marzo 1995,I,904.09
Marzo 1995,J,1070.695
Marzo 1995,K,451.6
Marzo 1995,M,396.0
Marzo 1995,N,540.0
Marzo 1995,O,524.98
Abril 1995,A,307.535
Abril 1995,B,800.0
Abril 1995,C,1351.25
Abril 1995,D,585.17
Abril 1995,E,1225.055
Abril 1995,F,354.78
Abril 1995,G,471.94
Abril 1995,H,456.26
Abril 1995,I,880.3
Abril 1995,J,1067.66
Abril 1995,K,446.34
Abril 1995,M,397.5
Abril 1995,N,541.6
Abril 1995,O,515.12
Mayo 1995,A,316.1
Mayo 1995,B,735.19
Mayo 1995,C,1312.51
Mayo 1995,D,624.27
Mayo 1995,E,1234.21
Mayo 1995,F,381.6
Mayo 1995,G,472.045
Mayo 1995,H,460.4
Mayo 1995,I,907.36
Mayo 1995,J,1083.3
Mayo 1995,K,450.0
Mayo 1995,M,398.19
Mayo 1995,N,547.32
Mayo 1995,O,522.86
Junio 1995,A,460.25
Junio 1995,B,850.72
Junio 1995,C,1980.86
Junio 1995,D,923.01
Junio 1995,E,1782.71
Junio 1995,F,507.315
Junio 1995,G,703.315
Junio 1995,H,674.195
Junio 1995,I,1339.47
Junio 1995,J,1673.85
Junio 1995,K,660.3
Junio 1995,M,538.55
Junio 1995,N,814.54
Junio 1995,O,767.415
Julio 1995,A,316.94
Julio 1995,B,745.63
Julio 1995,C,1312.0
Julio 1995,D,610.5
Julio 1995,E,1204.565
Julio 1995,F,370.41
Julio 1995,G,469.21
Julio 1995,H,455.94
Julio 1995,I,890.095
Julio 1995,J,1070.0
Julio 1995,K,450.0
Julio 1995,M,398.0
Julio 1995,N,548.28
Julio 1995,O,521.6
Agosto 1995,A,321.6
Agosto 1995,B,724.0
Agosto 1995,C,1313.5
Agosto 1995,D,618.69
Agosto 1995,E,1190.69
Agosto 1995,F,380.04
Agosto 1995,G,470.64
Agosto 1995,H,459.99
Agosto 1995,I,883.55
Agosto 1995,J,1086.115
Agosto 1995,K,450.0
Agosto 1995,M,395.68
Agosto 1995,N,546.32
Agosto 1995,O,520.0
Septiembre 1995,A,316.59
Septiembre 1995,B,743.55
Septiembre 1995,C,1335.46
Septiembre 1995,D,600.0
Septiembre 1995,E,1259.17
Septiembre 1995,F,358.16
Septiembre 1995,G,476.04
Septiembre 1995,H,449.39
Septiembre 1995,I,872.43
Septiembre 1995,J,1064.88
Septiembre 1995,K,449.19
Septiembre 1995,M,397.37
Septiembre 1995,N,547.81
Septiembre 1995,O,525.0
Octubre 1995,A,318.6
Octubre 1995,B,832.5
Octubre 1995,C,1312.07
Octubre 1995,D,616.67
Octubre 1995,E,1198.715
Octubre 1995,F,372.575
Octubre 1995,G,470.92
Octubre 1995,H,456.16
Octubre 1995,I,885.59
Octubre 1995,J,1073.0
Octubre 1995,K,448.35
Octubre 1995,M,397.59
Octubre 1995,N,547.01
Octubre 1995,O,523.76
Noviembre 1995,A,319.68
Noviembre 1995,B,786.39
Noviembre 1995,C,1334.68
Noviembre 1995,D,619.07
Noviembre 1995,E,1196.975
Noviembre 1995,F,375.52
Noviembre 1995,G,469.02
Noviembre 1995,H,450.81
Noviembre 1995,I,875.33
Noviembre 1995,J,1110.83
Noviembre 1995,K,446.32
Noviembre 1995,M,398.4
Noviembre 1995,N,543.58
Noviembre 1995,O,522.29
Diciembre 1995,A,458.96
Diciembre 1995,B,979.82
Diciembre 1995,C,2004.295
Diciembre 1995,D,939.775
Diciembre 1995,E,1754.61
Diciembre 1995,F,510.17
Diciembre 1995,G,702.28
Diciembre 1995,H,670.815
Diciembre 1995,I,1351.03
Diciembre 1995,J,1683.0
Diciembre 1995,K,653.3
Diciembre 1995,M,562.5
Diciembre 1995,N,819.93
Diciembre 1995,O,779.96
Enero 1996,A,316.33
Enero 1996,B,725.0
Enero 1996,C,1363.23
Enero 1996,D,639.17
Enero 1996,E,1350.4
Enero 1996,F,378.44
Enero 1996,G,489.64
Enero 1996,H,470.24
Enero 1996,I,919.83
Enero 1996,J,1142.86
Enero 1996,K,459.8
Enero 1996,M,403.09
Enero 1996,N,569.61
Enero 1996,O,540.52
Febrero 1996,A,317.4
Febrero 1996,B,762.71
Febrero 1996,C,1340.19
Febrero 1996,D,606.665
Febrero 1996,E,1249.51
Febrero 1996,F,364.53
Febrero 1996,G,479.82
Febrero 1996,H,463.57
Febrero 1996,I,888.88
Febrero 1996,J,1120.995
Febrero 1996,K,448.86
Febrero 1996,M,402.62
Febrero 1996,N,555.96
Febrero 1996,O,526.0
Marzo 1996,A,315.6
Marzo 1996,B,832.64
Marzo 1996,C,1312.0
Marzo 1996,D,605.64
Marzo 1996,E,1330.55
Marzo 1996,F,369.27
Marzo 1996,G,470.69
Marzo 1996,H,449.695
Marzo 1996,I,885.4
Marzo 1996,J,1099.81
Marzo 1996,K,440.16
Marzo 1996,M,396.9
Marzo 1996,N,544.5
Marzo 1996,O,522.92
Abril 1996,A,310.65
Abril 1996,B,750.45
Abril 1996,C,1325.0
Abril 1996,D,615.2
Abril 1996,E,1197.44
Abril 1996,F,370.56
Abril 1996,G,469.13
Abril 1996,H,451.4
Abril 1996,I,887.56
Abril 1996,J,1071.58
Abril 1996,K,440.0
Abril 1996,M,397.88
Abril 1996,N,545.5
Abril 1996,O,515.8
Mayo 1996,A,314.26
Mayo 1996,B,800.0
Mayo 1996,C,1380.0
Mayo 1996,D,639.59
Mayo 1996,E,1183.88
Mayo 1996,F,391.1
Mayo 1996,G,469.29
Mayo 1996,H,457.75
Mayo 1996,I,890.945
Mayo 1996,J,1083.3
Mayo 1996,K,443.14
Mayo 1996,M,397.59
Mayo 1996,N,550.5
Mayo 1996,O,517.5
Junio 1996,A,455.94
Junio 1996,B,783.04
Junio 1996,C,1982.465
Junio 1996,D,905.085
Junio 1996,E,1744.69
