Código,Descripción,Nivel,Tabla
A,"Agricultura, ganaderia, caza y silvicultura",Letra,C3
B,Pesca y servicios conexos,Letra,C3
C,Explotacion  de  minas  y  canteras,Letra,C3
D,Industria manufacturera,Letra,C3
E,"Electricidad, gas y agua",Letra,C3
F,Construccion,Letra,C3
G,Comercio al por mayor y al por menor,Letra,C3
H,Hotelería y restaurantes,Letra,C3
I,"Transporte, de almacenamiento y de comunicaciones",Letra,C3
J,Intermediacion financiera y otros servicios financieros,Letra,C3
K,"Servicios inmobiliarios, empresariales y de alquiler",Letra,C3
M,Enseñanza,Letra,C3
N,Servicios sociales y de salud,Letra,C3
O,"Servicios comunitarios, sociales y personales n.c.p.",Letra,C3
1,Agricultura y ganaderia,2 digitos,C4
2,"Silvicultura, extracción de madera",2 digitos,C4
5,Pesca y actividades relacionadas con la pesca,2 digitos,C4
11,Extraccion de petroleo crudo y gas natural,2 digitos,C4
13,Extraccion de minerales metaliferos,2 digitos,C4
14,Explotacion de otras minas y canteras,2 digitos,C4
15,Alimentos,2 digitos,C4
16,Tabaco,2 digitos,C4
17,Productos textiles,2 digitos,C4
18,Confecciones,2 digitos,C4
19,Cuero y calzado,2 digitos,C4
20,Madera,2 digitos,C4
21,Papel,2 digitos,C4
22,Edición,2 digitos,C4
23,Productos de petróleo,2 digitos,C4
24,Productos químicos,2 digitos,C4
25,Productos de caucho y plástico,2 digitos,C4
26,Otros minerales no metálicos,2 digitos,C4
27,Metales comunes,2 digitos,C4
28,Otros productos de metal,2 digitos,C4
29,Maquinaria y equipo,2 digitos,C4
30,Maquinaria de oficina,2 digitos,C4
31,Aparatos eléctricos,2 digitos,C4
32,Radio y televisión,2 digitos,C4
33,Instrumentos médicos,2 digitos,C4
34,Automotores,2 digitos,C4
35,Otros equipo de transporte,2 digitos,C4
36,Muebles,2 digitos,C4
37,Reciclamiento de desperdicios y desechos,2 digitos,C4
40,"Electricidad, gas y agua",2 digitos,C4
41,"Captación, depuración y distribución de agua",2 digitos,C4
45,Construcción,2 digitos,C4
50,"Vta. y reparación de vehículos, vta. por menor de combustible",2 digitos,C4
51,Comercio al por mayor,2 digitos,C4
52,Comercio al por menor,2 digitos,C4
55,Servicios de hoteleria y restaurantes,2 digitos,C4
60,Transporte ferroviario y automotor y por tuberias,2 digitos,C4
61,Transporte marítimo y fluvial,2 digitos,C4
62,Transporte aéreo de cargas y de pasajeros,2 digitos,C4
63,"Manipulación de carga, almacenamiento y depósito",2 digitos,C4
64,Correos y telecomunicaciones,2 digitos,C4
65,Intermediacion financiera y otros servicios financieros,2 digitos,C4
66,Seguros y AFJP,2 digitos,C4
67,Servicios auxiliares a la actividad financiera,2 digitos,C4
70,Servicios inmobiliarios,2 digitos,C4
71,Alquiler de equipo de transporte y de maquinaria,2 digitos,C4
72,Actividades de informática,2 digitos,C4
73,Investigación y desarrollo,2 digitos,C4
74,"Servicios jurídicos, contables y otros servicios a empresas",2 digitos,C4
75,Agencias de empleo eventual,2 digitos,C4
80,Enseñanza,2 digitos,C4
85,Servicios sociales y de salud,2 digitos,C4
90,Eliminación de desperdicios,2 digitos,C4
91,Servicios de organizaciones empresariales,2 digitos,C4
92,"Cinematografía, radio y televisión",2 digitos,C4
93,Servicios n.c.p.,2 digitos,C4
