Período,Empleo,Var. % interanual
1º Trim 1996,3424278.0,
2º Trim 1996,3465503.0,
3º Trim 1996,3528407.0,
4º Trim 1996,3626981.0,
1º Trim 1997,3724520.0,0.08768038109055398
2º Trim 1997,3775892.0,0.08956535313921243
3º Trim 1997,3835603.0,0.08706365223739776
4º Trim 1997,3952993.0,0.08988522410235955
1º Trim 1998,4056320.0,0.08908530495204747
2º Trim 1998,4068600.0,0.07752022568442096
3º Trim 1998,4093080.0,0.06712816733118632
4º Trim 1998,4118711.0,0.04192215872884164
1º Trim 1999,4104534.0,0.011886143105080516
2º Trim 1999,4052160.0,-0.004040701961362636
3º Trim 1999,4011805.0,-0.01985668494141335
4º Trim 1999,4024999.0,-0.02275274958597484
1º Trim 2000,4026873.0,-0.01892078369919703
2º Trim 2000,3968410.0,-0.02066798941798942
3º Trim 2000,3970498.0,-0.010296362859112063
4º Trim 2000,4016625.0,-0.0020804974113036723
1º Trim 2001,4036286.0,0.0023375457830430157
2º Trim 2001,3980665.0,0.003088138574391275
3º Trim 2001,3879624.0,-0.022887305320390516
4º Trim 2001,3786138.0,-0.05738325086359819
1º Trim 2002,3609266.0,-0.1057952781344037
2º Trim 2002,3510420.0,-0.11813227186914754
3º Trim 2002,3468591.0,-0.10594660719698612
4º Trim 2002,3506695.0,-0.07380687127621866
1º Trim 2003,3602146.0,-0.001972700266480776
2º Trim 2003,3667862.0,0.044849904000091145
3º Trim 2003,3755439.0,0.08269870964896131
4º Trim 2003,3889824.0,0.10925643661624407
1º Trim 2004,4017843.0,0.1154025961190912
2º Trim 2004,4096556.0,0.1168784430821006
3º Trim 2004,4232210.0,0.12695479809417765
4º Trim 2004,4388417.0,0.1281788070617076
1º Trim 2005,4533917.0,0.12844553657273328
2º Trim 2005,4627561.0,0.12962229736393205
3º Trim 2005,4719712.0,0.11518851852814493
4º Trim 2005,4891408.0,0.11461786790088535
1º Trim 2006,5018558.0,0.10689234055233032
2º Trim 2006,5078209.0,0.09738348127663787
3º Trim 2006,5148909.0,0.09093711650202385
4º Trim 2006,5311095.0,0.08580085734005416
1º Trim 2007,5447266.0,0.08542453828370622
2º Trim 2007,5513327.0,0.08568335805005267
3º Trim 2007,5602874.0,0.0881672214443876
4º Trim 2007,5781334.0,0.08853899242999796
1º Trim 2008,5875617.0,0.07863596159981912
2º Trim 2008,5927474.0,0.07511743816392524
3º Trim 2008,5935084.0,0.05929278438172991
4º Trim 2008,5963564.0,0.031520406881871965
1º Trim 2009,5897399.0,0.0037071851347696416
2º Trim 2009,5802939.0,-0.021009792704278385
3º Trim 2009,5792224.0,-0.024070425961957742
4º Trim 2009,5875724.0,-0.014729447021948672
1º Trim 2010,5943479.0,0.007813614103437727
2º Trim 2010,5945998.0,0.024652852632088607
3º Trim 2010,5980431.0,0.032493045849055546
4º Trim 2010,6103768.0,0.03881121713681579
1º Trim 2011,6217720.0,0.04614149389608335
2º Trim 2011,6245580.0,0.05038380436723999
3º Trim 2011,6283012.0,0.05059518285554998
4º Trim 2011,6383133.0,0.04576926908100054
1º Trim 2012,6409518.0,0.0308469985782569
2º Trim 2012,6344466.0,0.015832957067237974
3º Trim 2012,6321054.0,0.006054739351126548
4º Trim 2012,6394667.0,0.0018069496593600132
1º Trim 2013,6447550.0,0.0059336755119496765
2º Trim 2013,6407854.0,0.009991069382356166
3º Trim 2013,6395267.0,0.011740605285131211
4º Trim 2013,6451855.0,0.008943077098463537
1º Trim 2014,6460668.0,0.0020345712712581676
2º Trim 2014,6401990.0,-0.0009151269676244134
3º Trim 2014,6405283.0,0.0015661582229482551
4º Trim 2014,6479829.0,0.004335807298831096
1º Trim 2015,6558565.0,0.015152767484724494
2º Trim 2015,6569181.0,0.02611547346996801
3º Trim 2015,6588701.0,0.028635424851642055
4º Trim 2015,6616914.0,0.021155650866712783
1º Trim 2016,6613396.0,0.008360212942922773
2º Trim 2016,6525236.0,-0.006689570587261939
3º Trim 2016,6500682.0,-0.013359082465572492
4º Trim 2016,6557746.0,-0.00894193274991939
1º Trim 2017,6616572.0,0.00048023738484737066
2º Trim 2017,6571413.0,0.007076678912456114
3º Trim 2017,6596346.0,0.014715994414124633
4º Trim 2017,6674769.0,0.017845003450880803
1º Trim 2018,6720758.0,0.015746220248188836
2º Trim 2018,6647908.0,0.011640571061353189
3º Trim 2018,6585870.0,-0.001588151985963182
4º Trim 2018,6568160.0,-0.015971938504538485
1º Trim 2019,6575714.0,-0.021581494230263898
2º Trim 2019,6482106.0,-0.02494047751563344
3º Trim 2019,6442693.0,-0.021740028272650425
4º Trim 2019,6404476.0,-0.02492083018684077
1º Trim 2020,6384079.0,-0.02914284289128144
2º Trim 2020,6127188.0,-0.05475350140833857
3º Trim 2020,6105264.0,-0.05237390637734873
4º Trim 2020,6156639.0,-0.038697467208870795
1º Trim 2021,6244100.0,-0.021926263757074405
2º Trim 2021,6246210.0,0.019425224099538063
3º Trim 2021,6270240.0,0.027021927307320448
4º Trim 2021,6377629.0,0.03589458469142004
1º Trim 2022,6510537.0,0.042670200669431946
2º Trim 2022,6538000.0,0.046714727810944545
3º Trim 2022,6603063.0,0.0530797864196586
4º Trim 2022,6685499.0,0.04827342575116855
1º Trim 2023,6786299.0,0.04235626032076922
2º Trim 2023,6777613.0,0.03664928112572663
3º Trim 2023,6806754.0,0.030847956471110383
4º Trim 2023,6798710.0,0.016933814514069834
1º Trim 2024,6756727.0,-0.004357603459558712
2º Trim 2024,6633850.0,-0.021211450107877172
3º Trim 2024*,6625300.0,-0.026657934163626273
