Sector,Período,Empleo
Industria,1º Trim 1996,884282.0
Industria,2º Trim 1996,892050.0
Industria,3º Trim 1996,898198.0
Industria,4º Trim 1996,912318.0
Industria,1º Trim 1997,923616.0
Industria,2º Trim 1997,934635.0
Industria,3º Trim 1997,934990.0
Industria,4º Trim 1997,948585.0
Industria,1º Trim 1998,954011.0
Industria,2º Trim 1998,956073.0
Industria,3º Trim 1998,949006.0
Industria,4º Trim 1998,943114.0
Industria,1º Trim 1999,929183.0
Industria,2º Trim 1999,907128.0
Industria,3º Trim 1999,887976.0
Industria,4º Trim 1999,882374.0
Industria,1º Trim 2000,876787.0
Industria,2º Trim 2000,858663.0
Industria,3º Trim 2000,850289.0
Industria,4º Trim 2000,848137.0
Industria,1º Trim 2001,845279.0
Industria,2º Trim 2001,829442.0
Industria,3º Trim 2001,807285.0
Industria,4º Trim 2001,781115.0
Industria,1º Trim 2002,744577.0
Industria,2º Trim 2002,730679.0
Industria,3º Trim 2002,725283.0
Industria,4º Trim 2002,733821.0
Industria,1º Trim 2003,757028.0
Industria,2º Trim 2003,773084.0
Industria,3º Trim 2003,796014.0
Industria,4º Trim 2003,824545.0
Industria,1º Trim 2004,857421.0
Industria,2º Trim 2004,874212.0
Industria,3º Trim 2004,896450.0
Industria,4º Trim 2004,924967.0
Industria,1º Trim 2005,950471.0
Industria,2º Trim 2005,967347.0
Industria,3º Trim 2005,983077.0
Industria,4º Trim 2005,1010893.0
Industria,1º Trim 2006,1035402.0
Industria,2º Trim 2006,1049942.0
Industria,3º Trim 2006,1063773.0
Industria,4º Trim 2006,1086738.0
Industria,1º Trim 2007,1109295.0
Industria,2º Trim 2007,1123138.0
Industria,3º Trim 2007,1140625.0
Industria,4º Trim 2007,1165080.0
Industria,1º Trim 2008,1188300.0
Industria,2º Trim 2008,1203506.0
Industria,3º Trim 2008,1208069.0
Industria,4º Trim 2008,1203538.0
Industria,1º Trim 2009,1187356.0
Industria,2º Trim 2009,1167980.0
Industria,3º Trim 2009,1166466.0
Industria,4º Trim 2009,1177109.0
Industria,1º Trim 2010,1189136.0
Industria,2º Trim 2010,1198256.0
Industria,3º Trim 2010,1205362.0
Industria,4º Trim 2010,1218589.0
Industria,1º Trim 2011,1238823.0
Industria,2º Trim 2011,1251758.0
Industria,3º Trim 2011,1261346.0
Industria,4º Trim 2011,1275313.0
Industria,1º Trim 2012,1277582.0
Industria,2º Trim 2012,1273139.0
Industria,3º Trim 2012,1271066.0
Industria,4º Trim 2012,1282582.0
Industria,1º Trim 2013,1293072.0
Industria,2º Trim 2013,1290684.0
Industria,3º Trim 2013,1288510.0
Industria,4º Trim 2013,1293755.0
Industria,1º Trim 2014,1289801.0
Industria,2º Trim 2014,1280497.0
Industria,3º Trim 2014,1275184.0
Industria,4º Trim 2014,1277443.0
Industria,1º Trim 2015,1285911.0
Industria,2º Trim 2015,1293587.0
Industria,3º Trim 2015,1297372.0
Industria,4º Trim 2015,1297211.0
Industria,1º Trim 2016,1294001.0
Industria,2º Trim 2016,1276590.0
Industria,3º Trim 2016,1263596.0
Industria,4º Trim 2016,1258150.0
Industria,1º Trim 2017,1259441.0
Industria,2º Trim 2017,1248934.0
Industria,3º Trim 2017,1241237.0
Industria,4º Trim 2017,1243943.0
Industria,1º Trim 2018,1247541.0
Industria,2º Trim 2018,1231816.0
Industria,3º Trim 2018,1210188.0
Industria,4º Trim 2018,1191746.0
Industria,1º Trim 2019,1187362.0
Industria,2º Trim 2019,1171271.0
Industria,3º Trim 2019,1160372.0
Industria,4º Trim 2019,1145525.0
Industria,1º Trim 2020,1147976.0
Industria,2º Trim 2020,1131542.0
Industria,3º Trim 2020,1138305.0
Industria,4º Trim 2020,1149886.0
Industria,1º Trim 2021,1168836.0
Industria,2º Trim 2021,1174308.0
Industria,3º Trim 2021,1176510.0
Industria,4º Trim 2021,1186606.0
Industria,1º Trim 2022,1210905.0
Industria,2º Trim 2022,1221128.0
Industria,3º Trim 2022,1232126.0
Industria,4º Trim 2022,1240793.0
Industria,1º Trim 2023,1262058.0
Industria,2º Trim 2023,1263649.0
Industria,3º Trim 2023,1269374.0
Industria,4º Trim 2023,1265003.0
Industria,1º Trim 2024,1262052.0
Industria,2º Trim 2024,1237567.0
Industria_Grandes,1º Trim 1996,454570.0
Industria_Grandes,2º Trim 1996,450388.0
Industria_Grandes,3º Trim 1996,447395.0
Industria_Grandes,4º Trim 1996,453513.0
Industria_Grandes,1º Trim 1997,464055.0
Industria_Grandes,2º Trim 1997,468548.0
Industria_Grandes,3º Trim 1997,466799.0
Industria_Grandes,4º Trim 1997,473234.0
Industria_Grandes,1º Trim 1998,480644.0
Industria_Grandes,2º Trim 1998,481134.0
Industria_Grandes,3º Trim 1998,474161.0
Industria_Grandes,4º Trim 1998,470992.0
Industria_Grandes,1º Trim 1999,466743.0
Industria_Grandes,2º Trim 1999,452766.0
Industria_Grandes,3º Trim 1999,443611.0
Industria_Grandes,4º Trim 1999,438593.0
Industria_Grandes,1º Trim 2000,436399.0
Industria_Grandes,2º Trim 2000,426596.0
Industria_Grandes,3º Trim 2000,422890.0
Industria_Grandes,4º Trim 2000,419646.0
Industria_Grandes,1º Trim 2001,419736.0
Industria_Grandes,2º Trim 2001,411250.0
Industria_Grandes,3º Trim 2001,400159.0
Industria_Grandes,4º Trim 2001,385465.0
Industria_Grandes,1º Trim 2002,369649.0
Industria_Grandes,2º Trim 2002,363917.0
Industria_Grandes,3º Trim 2002,360655.0
Industria_Grandes,4º Trim 2002,358948.0
Industria_Grandes,1º Trim 2003,372039.0
Industria_Grandes,2º Trim 2003,377362.0
Industria_Grandes,3º Trim 2003,385001.0
Industria_Grandes,4º Trim 2003,395569.0
Industria_Grandes,1º Trim 2004,416091.0
Industria_Grandes,2º Trim 2004,423623.0
Industria_Grandes,3º Trim 2004,433186.0
Industria_Grandes,4º Trim 2004,446049.0
Industria_Grandes,1º Trim 2005,463771.0
Industria_Grandes,2º Trim 2005,473056.0
Industria_Grandes,3º Trim 2005,479983.0
Industria_Grandes,4º Trim 2005,496486.0
Industria_Grandes,1º Trim 2006,511779.0
Industria_Grandes,2º Trim 2006,518702.0
Industria_Grandes,3º Trim 2006,525819.0
Industria_Grandes,4º Trim 2006,538395.0
Industria_Grandes,1º Trim 2007,556629.0
Industria_Grandes,2º Trim 2007,566915.0
Industria_Grandes,3º Trim 2007,575346.0
Industria_Grandes,4º Trim 2007,588534.0
Industria_Grandes,1º Trim 2008,603616.0
Industria_Grandes,2º Trim 2008,614909.0
Industria_Grandes,3º Trim 2008,620174.0
Industria_Grandes,4º Trim 2008,617103.0
Industria_Grandes,1º Trim 2009,611944.0
Industria_Grandes,2º Trim 2009,599352.0
Industria_Grandes,3º Trim 2009,597923.0
Industria_Grandes,4º Trim 2009,601422.0
Industria_Grandes,1º Trim 2010,610697.0
Industria_Grandes,2º Trim 2010,617074.0
Industria_Grandes,3º Trim 2010,622431.0
Industria_Grandes,4º Trim 2010,631436.0
Industria_Grandes,1º Trim 2011,649016.0
Industria_Grandes,2º Trim 2011,657722.0
Industria_Grandes,3º Trim 2011,663312.0
Industria_Grandes,4º Trim 2011,673589.0
Industria_Grandes,1º Trim 2012,678847.0
Industria_Grandes,2º Trim 2012,679355.0
Industria_Grandes,3º Trim 2012,678936.0
Industria_Grandes,4º Trim 2012,687361.0
Industria_Grandes,1º Trim 2013,697784.0
Industria_Grandes,2º Trim 2013,696196.0
Industria_Grandes,3º Trim 2013,694046.0
Industria_Grandes,4º Trim 2013,697157.0
Industria_Grandes,1º Trim 2014,697175.0
Industria_Grandes,2º Trim 2014,693575.0
