Sheet,Titulo,Subtitulo,TipoSerie
C1.1,Cuadro 1.1 Empleo asalariado registrados en el sector privado,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
C1.2,Cuadro 1.2 Empleo asalariado registrados en el sector privado,En puestos de trabajo. Serie desestacionalizada,Desestacionalizada
C2.1,Cuadro 2.1 Empleo asalariado registrados en el sector privado. Por grandes divisiones,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
C2.2,Cuadro 2.2 Empleo asalariado registrados en el sector privado. Por grandes divisiones,En puestos de trabajo. Serie desestacionalizada,Desestacionalizada
C3,Cuadro 3. Empleo asalariado registrados en el sector privado.  Por sector de actividad a letra CIIU rev. 3,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
C4,Cuadro 4. Empleo asalariado registrados en el sector privado. Por rama de actividad a 2 dígitos CIIU rev. 3,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
C5,Cuadro 5. Empleo asalariado registrados en el sector privado. Por sector y tamaño de empresa,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
C6,Cuadro 6. Empleo asalariado registrados en el sector privado. Por rama de actividad a 3 dígitos CIIU rev. 3,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
C7,Cuadro 7. Empleo asalariado registrados en el sector privado. Por Rama de actividad a 4 dígitos CIIU rev. 3,En puestos de trabajo. Serie con estacionalidad,Con estacionalidad
Descriptores de actividad,Descriptor completo de actividad - Codigo Industrial Internacional Uniforme (CIIU) - Revisión 3 - 2 Dígitos,,No especificado
