Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,TipoSerie,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
1º Trim 1996,3424278.0,,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 1996,3465503.0,,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 1996,3528407.0,,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 1996,3626981.0,,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 1997,3724520.0,0.08768038109055398,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 1997,3775892.0,0.08956535313921243,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 1997,3835603.0,0.08706365223739776,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 1997,3952993.0,0.08988522410235955,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 1998,4056320.0,0.08908530495204747,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 1998,4068600.0,0.07752022568442096,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 1998,4093080.0,0.06712816733118632,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 1998,4118711.0,0.04192215872884164,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 1999,4104534.0,0.011886143105080516,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 1999,4052160.0,-0.004040701961362636,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 1999,4011805.0,-0.01985668494141335,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 1999,4024999.0,-0.02275274958597484,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2000,4026873.0,-0.01892078369919703,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2000,3968410.0,-0.02066798941798942,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2000,3970498.0,-0.010296362859112063,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2000,4016625.0,-0.0020804974113036723,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2001,4036286.0,0.0023375457830430157,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2001,3980665.0,0.003088138574391275,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2001,3879624.0,-0.022887305320390516,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2001,3786138.0,-0.05738325086359819,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2002,3609266.0,-0.1057952781344037,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2002,3510420.0,-0.11813227186914754,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2002,3468591.0,-0.10594660719698612,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2002,3506695.0,-0.07380687127621866,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2003,3602146.0,-0.001972700266480776,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2003,3667862.0,0.044849904000091145,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2003,3755439.0,0.08269870964896131,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2003,3889824.0,0.10925643661624407,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2004,4017843.0,0.1154025961190912,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2004,4096556.0,0.1168784430821006,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2004,4232210.0,0.12695479809417765,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2004,4388417.0,0.1281788070617076,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2005,4533917.0,0.12844553657273328,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2005,4627561.0,0.12962229736393205,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2005,4719712.0,0.11518851852814493,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2005,4891408.0,0.11461786790088535,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2006,5018558.0,0.10689234055233032,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2006,5078209.0,0.09738348127663787,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2006,5148909.0,0.09093711650202385,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2006,5311095.0,0.08580085734005416,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2007,5447266.0,0.08542453828370622,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2007,5513327.0,0.08568335805005267,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2007,5602874.0,0.0881672214443876,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2007,5781334.0,0.08853899242999796,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2008,5875617.0,0.07863596159981912,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2008,5927474.0,0.07511743816392524,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2008,5935084.0,0.05929278438172991,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2008,5963564.0,0.031520406881871965,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2009,5897399.0,0.0037071851347696416,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2009,5802939.0,-0.021009792704278385,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2009,5792224.0,-0.024070425961957742,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2009,5875724.0,-0.014729447021948672,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2010,5943479.0,0.007813614103437727,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2010,5945998.0,0.024652852632088607,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2010,5980431.0,0.032493045849055546,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2010,6103768.0,0.03881121713681579,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2011,6217720.0,0.04614149389608335,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2011,6245580.0,0.05038380436723999,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2011,6283012.0,0.05059518285554998,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2011,6383133.0,0.04576926908100054,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2012,6409518.0,0.0308469985782569,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2012,6344466.0,0.015832957067237974,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2012,6321054.0,0.006054739351126548,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2012,6394667.0,0.0018069496593600132,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2013,6447550.0,0.0059336755119496765,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2013,6407854.0,0.009991069382356166,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2013,6395267.0,0.011740605285131211,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2013,6451855.0,0.008943077098463537,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2014,6460668.0,0.0020345712712581676,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2014,6401990.0,-0.0009151269676244134,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2014,6405283.0,0.0015661582229482551,,,,,C1.1,Total,,,,,,,,,,,,
